InputID,TargetID,Distance
Odessos,Bizye,1.65099582445
Odessos,Hadrianopolis,2.05369289033
Odessos,Selymbria,2.127985467
Odessos,Perinthos,2.24727671691
Odessos,Nicopolis ad Istrum,2.3055560668
Odessos,Augusta Traiana,2.42535505453
Odessos,Byzantion,2.43548581561
Odessos,Seuthopolis,2.6761231969
Odessos,Ainos,3.09223929433
Odessos,Maroneia,3.33570771934
Odessos,Philippopolis,3.34628157335
Odessos,Sestos,3.36914130834
Odessos,Abdera,3.72941735978
Odessos,Nicopolis ad Nestum,4.4282359614
Odessos,Serdica,4.62401274025
Odessos,Municipium Montanensium,4.6876025168
Odessos,Parthicopolis,4.91836191791
Odessos,Heraclea Sintica,4.97103266012
Odessos,Pautalia,5.31590981029
Nicopolis ad Nestum,Parthicopolis,0.513313573093
Nicopolis ad Nestum,Heraclea Sintica,0.547205015624
Nicopolis ad Nestum,Philippopolis,1.09747752467
Nicopolis ad Nestum,Serdica,1.19867113068
Nicopolis ad Nestum,Pautalia,1.30793480408
Nicopolis ad Nestum,Abdera,1.34167189266
Nicopolis ad Nestum,Seuthopolis,1.82679718761
Nicopolis ad Nestum,Maroneia,1.85608938489
Nicopolis ad Nestum,Municipium Montanensium,1.90600407248
Nicopolis ad Nestum,Augusta Traiana,2.00741217431
Nicopolis ad Nestum,Nicopolis ad Istrum,2.434139444
Nicopolis ad Nestum,Ainos,2.44944772943
Nicopolis ad Nestum,Hadrianopolis,2.76627945064
Nicopolis ad Nestum,Kabyle,2.85390676382
Nicopolis ad Nestum,Sestos,2.93197734035
Nicopolis ad Nestum,Bizye,3.96937266738
Nicopolis ad Nestum,Apollonia Pontica,3.98957933098
Nicopolis ad Nestum,Mesambria Pontica,4.06417720146
Nicopolis ad Nestum,Marcianopolis,4.12883360268
Nicopolis ad Nestum,Perinthos,4.20626329461
Nicopolis ad Nestum,Odessos,4.4282359614
Nicopolis ad Nestum,Selymbria,4.59054129324
Nicopolis ad Nestum,Dionysopolis,4.70895179145
Nicopolis ad Nestum,Byzantion,5.19188444757
Parthicopolis,Heraclea Sintica,0.103044524872
Parthicopolis,Nicopolis ad Nestum,0.513313573093
Parthicopolis,Pautalia,0.934671148349
Parthicopolis,Serdica,1.1305902078
Parthicopolis,Philippopolis,1.5732734235
Parthicopolis,Abdera,1.79550592116
Parthicopolis,Municipium Montanensium,1.85067555233
Parthicopolis,Seuthopolis,2.28244889871
Parthicopolis,Maroneia,2.33071354835
Parthicopolis,Augusta Traiana,2.49317767931
Parthicopolis,Nicopolis ad Istrum,2.85357358856
Parthicopolis,Ainos,2.92570678389
Parthicopolis,Hadrianopolis,3.27942393353
Parthicopolis,Kabyle,3.34917969817
Parthicopolis,Sestos,3.38119801254
Parthicopolis,Bizye,4.48181049361
Parthicopolis,Apollonia Pontica,4.49771579681
Parthicopolis,Mesambria Pontica,4.5667265576
Parthicopolis,Marcianopolis,4.6141108557
Parthicopolis,Perinthos,4.70992711367
Parthicopolis,Odessos,4.91836191791
Parthicopolis,Selymbria,5.09820449755
Parthicopolis,Dionysopolis,5.19592520572
Parthicopolis,Byzantion,5.69856802171
Pautalia,Serdica,0.760706369166
Pautalia,Parthicopolis,0.934671148349
Pautalia,Heraclea Sintica,1.00329269403
Pautalia,Municipium Montanensium,1.25974043182
Pautalia,Nicopolis ad Nestum,1.30793480408
Pautalia,Philippopolis,2.06923057056
Pautalia,Seuthopolis,2.64598252641
Pautalia,Abdera,2.64905335359
Pautalia,Augusta Traiana,2.9450219134
Pautalia,Nicopolis ad Istrum,3.07311449211
Pautalia,Maroneia,3.15299726363
Pautalia,Ainos,3.74194678721
Pautalia,Kabyle,3.80843054143
Pautalia,Hadrianopolis,3.92525006436
Pautalia,Sestos,4.2380547844
Pautalia,Marcianopolis,4.99366647437
Pautalia,Apollonia Pontica,5.01843857633
Pautalia,Mesambria Pontica,5.04196085321
Pautalia,Bizye,5.1312613255
Pautalia,Odessos,5.31590981029
Pautalia,Perinthos,5.43313702591
Pautalia,Dionysopolis,5.57353992777
Pautalia,Selymbria,5.79469179626
Pautalia,Byzantion,6.39890622811
Sestos,Ainos,0.589245397
Sestos,Maroneia,1.10365481218
Sestos,Hadrianopolis,1.46812296344
Sestos,Abdera,1.59097167132
Sestos,Perinthos,1.74301546638
Sestos,Bizye,1.93598824584
Sestos,Selymbria,2.18304509776
Sestos,Augusta Traiana,2.3323801664
Sestos,Kabyle,2.34587948905
Sestos,Philippopolis,2.52613261035
Sestos,Apollonia Pontica,2.56390561232
Sestos,Seuthopolis,2.63395947138
Sestos,Byzantion,2.69232072718
Sestos,Mesambria Pontica,2.81041492521
Sestos,Nicopolis ad Nestum,2.93197734035
Sestos,Nicopolis ad Istrum,3.09833134531
Sestos,Marcianopolis,3.24800767224
Sestos,Heraclea Sintica,3.35968052076
Sestos,Odessos,3.36914130834
Sestos,Parthicopolis,3.38119801254
Sestos,Dionysopolis,3.64316700839
Sestos,Serdica,3.93977719141
Sestos,Pautalia,4.2380547844
Sestos,Municipium Montanensium,4.49026725263
Maroneia,Abdera,0.553015909088
Maroneia,Ainos,0.595009951032
Maroneia,Sestos,1.10365481218
Maroneia,Hadrianopolis,1.29988746239
Maroneia,Philippopolis,1.4605928501
Maroneia,Augusta Traiana,1.52620482456
Maroneia,Seuthopolis,1.73362237074
Maroneia,Nicopolis ad Nestum,1.85608938489
Maroneia,Kabyle,1.92052897594
Maroneia,Nicopolis ad Istrum,2.31914584846
Maroneia,Heraclea Sintica,2.32221076477
Maroneia,Parthicopolis,2.33071354835
Maroneia,Bizye,2.34692830249
Maroneia,Perinthos,2.43960750257
Maroneia,Apollonia Pontica,2.65842467973
Maroneia,Mesambria Pontica,2.83305667935
Maroneia,Serdica,2.83625576494
Maroneia,Selymbria,2.85642798198
Maroneia,Marcianopolis,3.11898823515
Maroneia,Pautalia,3.15299726363
Maroneia,Odessos,3.33570771934
Maroneia,Municipium Montanensium,3.39812109032
Maroneia,Byzantion,3.44020948173
Maroneia,Dionysopolis,3.63038404309
Nicopolis ad Istrum,Seuthopolis,0.669008472739
Nicopolis ad Istrum,Augusta Traiana,0.79499459489
Nicopolis ad Istrum,Kabyle,1.09049031879
Nicopolis ad Istrum,Philippopolis,1.37912975609
Nicopolis ad Istrum,Hadrianopolis,1.81213223955
Nicopolis ad Istrum,Marcianopolis,1.97464543095
