Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
9975,"2213",,,,,
4516,"2838|558",,,,,
4342,"2728|2729",,,,,"from Apameia"
16073,"223","141",,,,
15640,"226","15639",,,,
15736,"226","15735",,,,
15668,"226","15667",,,,
4285,"226","1757",,,,
15764,"2541","564",,,,
15839,"2541","15838",,,,
4120,"2541","1383",,,,
16537,"228","140","11902",,,
16549,"228","793",,,,
15635,"15633","15634",,,,
10070,"233","1562",,,,
8707,"8706|2243",,,,,
6808,"2187|6807",,,,,
13880,"234",,,,,
16548,"234|15069",,,"1577",,
7811,"7810","532",,,,
8314,"6724|2265",,,,,
15206,"15204","15205",,,,
15209,"7931|15207|15208",,,,,
14460,"7931",,,,,
15164,"7931",,"15163",,,
8225,"241","1594",,,,
8448,"243","1194",,,,
16585,"16583|16584",,,,,
8476,"246","8475",,,,
9276,"246","9275",,,,
15930,"246","10906",,,,
4809,"247","247",,,,
6980,"247","307",,,,
6977,"247","407",,,,
4078,"247","421",,,,
7743,"247","426",,,,
12779,"247","485",,,,
11595,"247","812",,,,
8302,"247","886",,,,
8710,"247","999",,,,
7618,"247","2873",,,,
8129,"7197","247",,,,
4622,"4619|4620|4621","4413",,,,
4961,"2188|3756|4960","3757",,"1337",,
3962,"2188|55",,,,,
4014,"2188|4013",,,"524",,
4978,"2188",,,,,
9024,"2188",,"9023",,,
15526,"2188|15525",,,,,
15421,"2188|618",,,,,
4016,"2188|905",,,,,
7049,"2188|3681","2229",,,,
15523,"2188|12365","2189",,"15522",,
15340,"2188|15339",,"5756",,,
12625,"2188|1090",,,,,
15352,"2188|12548","15346",,,,
16217,"2188|1638","1768",,,,
15401,"2188|15068|15400","1645",,,,
7401,"6868|6475",,,,,
8502,"2189|8501",,,,,
4198,"2189|4197",,,,,
9281,"2189|7132",,,,,
10197,"2189|6156",,,,,
8473,"2189|135",,,,,
8914,"2189|141|2659",,,,,
16022,"2189|158","158",,,,
16025,"2189|196","158",,,,
8533,"2189|196",,,,,
16032,"2189|209","233",,,,
15405,"2189|214","2173","15406",,,
6898,"2189|214",,,,,
9929,"2189|9928",,,,,
9205,"2189|8926","672",,,,
16024,"2189|16023","158",,,,
10304,"2189|264",,,,,
16089,"2189","209",,,,
10218,"2189","442",,,,
8171,"2189","8170",,,,
4958,"2189","792",,"3761",,
7809,"2189","1194",,,,
6689,"2189|390","6688",,,,
16581,"2189|392","335",,,,"ἀρχιερεὺς δι᾿ ὅπλών"
7107,"2189|399","399",,,,
8084,"2189|442","212",,,,
7309,"2189|449","7975",,,,
8532,"2189|449",,,,,
16361,"2189|16360|135",,,,,
4702,"2189|2287","2287",,,"354",
11602,"2189|2287|11601",,,,,
9830,"2189|469",,,,,
9033,"2189|485","2175",,,,
10238,"2189|485",,,,,
4963,"2189|3757",,,"3758",,
6783,"2189|6622|451",,,,,
3939,"2189|3258|3938",,,,,
10066,"2189|781","511",,,,
6757,"2189|796|1196",,,,,
10013,"2189|10012","908",,,,
10077,"2189|823",,,,,
9124,"2189|9123",,,,,
6718,"2189|7975|6717",,,,,
8536,"2189|2229",,,,,
4756,"2189|932",,,,,
9399,"2189|9398",,,,,
6823,"2189|2234",,,,,
9187,"2189|3191","3443",,,,
6726,"2189|3191",,,,,
15344,"2189|15343",,,,,
4706,"2189|1021","654","2589",,"1616",
16563,"2189|16562",,,,,
7213,"2189|1075",,,,,"son of Hadrianos Moukianos"
12881,"2189|12880",,,,,
8253,"2189|2452",,,,,
9186,"2189|2176","9185",,,,
9184,"2189|2176","1642",,,,
12879,"2189|12878",,,,,
9977,"2189|2241",,,,,
4701,"2189|1107",,,,,
6784,"2189|1119","1119",,,,
15347,"2189|15346","689",,,,
9433,"2189|3178",,,,,
9579,"2189|1194",,,,,
8518,"2189|1195","1420",,,,
7597,"2189|1196",,,,,
10243,"2189|1197",,,,,
7176,"2189|1241",,,,,
6975,"2189|2243",,,,,
9841,"2189|9840",,,,,
6781,"2189|1288","812",,,,
9964,"2189|1296",,,,,
6824,"2189|6373","6373",,,,
4962,"2189|1337",,,,,
15349,"2189|15348",,,,,
15403,"2189|2177|1645",,"15402",,,
15557,"2189|8196",,,,,
6851,"2189|6850",,,,,
16329,"2189|1403",,,,,
16211,"2189|1424",,,,,
10267,"2189|7516","264",,,,
15425,"2189|15424|15426",,,,,
6849,"2189|5978|6848|1587",,,,,
9574,"2189|9573","1190",,,,
8866,"2189|8865","1196",,,,
7216,"2189|2261","540",,,,
12691,"2189|11398",,,,,
16216,"2189|1546","497",,,,
9051,"2189|1594","264",,,,
4199,"2189|1594","1201",,,,
15412,"2189|1645","456","15411",,,
