Record ID,Modern location,Ancient site,Ancient site - region,Temporal horizon,Author or Creator >
6110,"Unknown",,,,1792
8039,"Unknown",,"Anchilaos",,1792
6103,"Unknown",,"Odessos",,1792
11364,"Unknown",,"Vallis Strimonis medii",,1792
9764,"Ustina",,"Philippopolis",,1793
8434,"Ustrem",,"Hadrianopolis",,2
13617,"Vakarel",,"Serdica",,1793
10751,"Vaksevo",,"Pautalia",,1792
13344,"Valchi Dol",,"Marcianopolis",,1793
15592,"Valchi Izvor",,,,2
6603,"Varbovka",,"Nikopolis ad Istrum",,1793
3846,"Varna","Odessos","Odessos",,
9587,"Varvara",,"Philippopolis",,2
6162,"Veliko Tarnovo","Nikopolis ad Istrum","Nikopolis ad Istrum",,1793
13340,"Venchan",,"Marcianopolis",,1793
16640,"Vetren",,"Pistiros",,2
9494,"Vetren","Lissae - Bona Mansio","Philippopolis",,2
9591,"Vetren dol",,"Philippopolis",,2
13342,"Vetrino",,"Marcianopolis",,1793
