Heurist ID|Administrative keywords|Formulaic keywords|Honorific keywords|Religious keywords|Epithet|Collective group names|Geographic names|Person|
2450 | Strategos, | | | | | | Thrake, | Markos, Ouettios, Markellos, child of, partner of, grandchild of, Tiberios, Klaudios, Dinis, child of, partner of, grandchild of, Tiberios, Klaudios, Aulouzenis, child of, partner of, grandchild of, Tiberios, Klaudios, Aulouporis, child of, partner of, grandchild of, Markos, Ouettios, Dinis, child of, partner of, grandchild of, Tiberios, Klaudios, Dinikenthos, child of, partner of, grandchild of, Tiberios, Klaudios, Theopompos, child of, partner of, grandchild of, Tiberios, Klaudios, Roimetalkes (Roimetalkas), child of Beithykenthos, partner of, grandchild of, Tiberios, Klaudios, Roimetalkes (Roimetalkas), child of Apollonios, partner of, grandchild of, Tiberios, Klaudios, Beithys, child of, partner of, grandchild of, Tiberios, Klaudios, Zykolaises, child of, partner of, grandchild of, Tiberios, Klaudios, Kardenthes, child of, partner of, grandchild of, Tiberios, Klaudios, Eision, child of, partner of, grandchild of, Gaios, Ioulios, Bassos, child of, partner of, grandchild of, Gaios, Mailios, Montanos, child of, partner of, grandchild of, Tiberios, Klaudios, Eptaikenthos, child of, partner of, grandchild of, Gaios, Ioulios, Artemidoros, child of, partner of, grandchild of, Tiberios, Klaudios, Doles, child of, partner of, grandchild of, Gaios, Ioulios, Eutychos, child of, partner of, grandchild of, Gaios, Ioulios, Halys, child of, partner of, grandchild of, Tiberios, Klaudios, Ebrenis, child of, partner of, grandchild of, Tiberios, Klaudios, Kallon, child of, partner of, grandchild of, Gaios, Ioulios, Ebrenis, child of, partner of, grandchild of, Gaios, Ioulios, Zmaragdos, child of, partner of, grandchild of, Longeinos, child of Dorzinthes, partner of, grandchild of, Karoses, child of Aulouporis, partner of, grandchild of, Kotys, child of Hygienos, partner of, grandchild of, Mokaporis, child of Roimetalkes (Roimetalkas), partner of, grandchild of, Zykouleses, child of Tyrelses, partner of, grandchild of, Diouzies, child of Zykouleses, partner of, grandchild of, Esbenis, child of Amatokos, partner of, grandchild of, Eision, child of Filon, partner of, grandchild of, Dorzinthes, child of Bosis, partner of, grandchild of, Koisormas, child of Spokes, partner of, grandchild of, | 
2468 | Strategos, Presbys, | | | | | | Thrake, | Titos, Flaouios, Sabinos / Sabeinos, child of, partner of, grandchild of, Tiberios, Klaudios, Dinis, child of, partner of, grandchild of, | 
2469 | | | | heros, | | | | Zykouleses, child of Tyrelses, partner of, grandchild of, | 
2470 | Strategos, | Epoiesen, | | | | | | Zykouleses, child of Tyrelses, partner of, grandchild of, Unknown, child of Diouzies, partner of Tyrelses, grandchild of, | 
2471 | Tamias, | | | bomos, | | | | Aurelia, Baleriane, child of, partner of Dydes, grandchild of, Dydes, Euagrios, child of, partner of, grandchild of, | 
2473 | Polis, | Mnemeion, Epoiei, | | | | | Neikaia, | Aurelia, Kalliope, child of, partner of, grandchild of, Kassios, Achilleus, child of, partner of, Neikaios, grandchild of, | 
2475 | | Mnemeion, | | | | | | Filon, child of Menodotos, partner of, grandchild of, | 
2476 | | Mnemeion, Charin, Mneias, | | | | | | Asklepiod[oros/otos], child of, partner of, grandchild of, | 
2477 | | | | | | | | | 
2478 | | Theois Katachthoniois, Charin, Mneias, | | Bakchos, | | | | Gaios, Skreimbonios, child of, partner of, Lakem[onios], grandchild of, Lollia, Tycharous, child of, partner of, grandchild of, | 
2482 | | | | | | | | Dokime, child of, partner of, grandchild of, | 
