Heurist ID,Geolocation,Start Year,End Year
2420,POINT(24.9733186 40.9336654),300,399
2422,POINT(24.9732971 40.9331143),-360,-340
2423,POINT(24.9729753 40.9337141),-399,-200
2424,POINT(24.9728251 40.9337627),,
2425,POINT(24.9729109 40.9332926),-228,476
2426,POINT(24.777174 41.0868558),117,138
2430,POINT(24.77717 41.08686),117,138
2433,POINT(28.3390617 43.4358441),,
2434,POINT(28.3539963 43.415772),,
2435,POINT(28.4116745 43.4040498),,
2436,POINT(28.4640312 43.3761068),-16,14
2439,POINT(28.4657478 43.3646265),337,361
2440,POINT(28.3673 43.6087677),,
2441,POINT(28.1654906 43.407495),-48,-48
2442,POINT(25.1095533 41.0137134),-399,-300
2443,POINT(25.1098108 41.0137296),1,99
2444,POINT(24.9613827 41.0610542),-27,284
2448,POINT(24.8863775 41.1291264),1,50
2450,POINT(24.7679901 41.0852062),46,54
2468,POINT(24.7697926 41.0849797),46,54
2469,POINT(24.7646427 41.0840417),50,99
2470,POINT(24.7668314 41.0844622),1,199
2471,POINT(24.7622824 41.0819714),200,299
2473,POINT(24.7678614 41.0846886),200,299
2475,POINT(24.7664022 41.0842681),200,299
2476,POINT(24.7663164 41.0844622),200,299
2477,POINT(24.7645569 41.0830712),,
2478,POINT(24.7613382 41.0827478),-27,284
2482,POINT(24.7637844 41.0834594),-27,284
2483,POINT(24.7606945 41.0822625),-27,284
2484,POINT(24.7606945 41.082489),400,599
2485,POINT(24.7667885 41.0446632),-99,99
2486,POINT(24.7679472 41.0467023),200,299
2487,POINT(24.76784 41.04617),100,199
2488,POINT(24.7678828 41.0460712),200,299
2489,POINT(24.7675395 41.0458932),200,299
2490,POINT(24.7674322 41.0461683),200,299
2492,POINT(24.8847198 41.127696),100,199
2493,POINT(24.8843765 41.1283102),200,299
2494,POINT(24.6229899 41.285623),-199,-100
2495,POINT(24.5132317 41.2419957),-27,284
2496,POINT(25.2874125 40.938038),-450,-100
2497,POINT(25.2859783 40.9405546),-420,-400
2498,POINT(25.2854633 40.9398414),-460,-440
2500,POINT(25.2852917 40.9386095),-460,-440
2503,POINT(25.2867508 40.9397117),-450,-425
2504,POINT(25.2842617 40.9382853),-450,-400
2505,POINT(25.285635 40.9394524),-450,-400
2508,POINT(25.2884674 40.9397117),-450,-400
2509,POINT(25.2850342 40.9384798),-450,-400
2510,POINT(25.2841759 40.9380259),-450,-400
2511,POINT(25.2844334 40.9385446),-450,-400
2512,POINT(25.2831459 40.9384798),-450,-425
2514,POINT(25.2858067 40.9394524),-425,-400
2515,POINT(25.2309179 40.9770145),-425,-400
2518,POINT(25.2854633 40.9397765),-425,-400
2520,POINT(28.1672287 43.4087265),-300,-200
2521,POINT(25.2832763 40.9391961),-425,-400
2522,POINT(25.2898399 40.9471003),-425,-400
2523,POINT(25.2852917 40.9397765),-425,-400
2524,POINT(25.2852058 40.9393875),-410,-390
2525,POINT(25.2876949 40.9381556),-410,-390
2526,POINT(25.2852058 40.9399062),-410,-390
2527,POINT(25.23036 40.9763341),-410,-390
2528,POINT(25.2875233 40.9398414),-410,-390
2529,POINT(25.2869225 40.9390633),-410,-390
2534,POINT(28.1658125 43.4081653),-300,-100
2535,POINT(28.1674433 43.4078847),212,250
2536,POINT(25.2858925 40.939193),-499,-300
2537,POINT(25.284605 40.938804),-499,-300
2538,POINT(25.2853775 40.9402304),-450,-380
2539,POINT(25.2874374 40.9401007),-399,-380
2540,POINT(25.284605 40.9387391),-399,-375
2542,POINT(25.2865791 40.9384798),-399,-375
2544,POINT(25.2832317 40.938415),-399,-375
2545,POINT(25.2865791 40.9393875),-399,-375
2546,POINT(25.2867508 40.939582),-375,-350
2548,POINT(25.2868366 40.938804),-375,-350
2549,POINT(25.2858067 40.9381556),-375,-350
2550,POINT(25.2852917 40.9389337),-375,-350
2551,POINT(25.2817726 40.9383501),-375,-350
2552,POINT(25.2832317 40.9382204),-375,-350
2553,POINT(25.2846909 40.9391282),-375,-350
2554,POINT(25.2849483 40.9380259),-399,-350
2555,POINT(25.2864075 40.9383501),-399,-350
2556,POINT(25.2826309 40.9379611),-399,-350
2557,POINT(25.2836609 40.9385446),-399,-350
2559,POINT(25.2875233 40.9382853),-360,-340
2560,POINT(25.2850342 40.9386095),-360,-340
2561,POINT(25.2828026 40.9388688),-360,-340
2562,POINT(25.285635 40.9386095),-360,-340
2564,POINT(25.2853775 40.9391282),-360,-340
2565,POINT(25.2826309 40.9381556),-360,-340
2566,POINT(25.2850342 40.9399062),-360,-340
2567,POINT(25.2852058 40.9386743),-399,-300
2568,POINT(25.28409 40.9386743),-399,-300
2569,POINT(25.2835751 40.9378314),-399,-300
2570,POINT(25.2847767 40.9371182),-399,-300
2571,POINT(25.2826309 40.9390633),-360,-340
