Record ID,Personal name,Gender,Ethnicity,Roman onomastics,LPGN date,Parissaki date,Source check,Author or Creator >
15109,"Appai[?]","Ambiguous","Uncertain",,,,,"2"
12629,"Appianos","Male","Roman",,,,"Epigraphic corpus","2"
6135,"Appios","Male","Roman","Praenomen",,,"Epigraphic corpus","1793"
9954,"Apreilios","Male","Roman",,,,"Epigraphic corpus","2"
5889,"Apre[ilion]","Male","Roman",,,,"Epigraphic corpus","2"
16235,"Apriate","Female","Greek",,,,"LGPN","2"
2186,"Apronia","Female","Roman","Gentilium",,,"Epigraphic corpus","2"
8765,"Apronianos","Male","Roman",,,,"Epigraphic corpus","1793"
145,"Apsinthios","Male","Greek",,,,"Epigraphic corpus","2"
6042,"Aptekenthos","Male","Thracian",,,,"Dana Onomasticon 2014","2"
16292,"Aptos","Male","Uncertain",,,,"LGPN","2"
6820,"Arabikos","Male","Uncertain",,,,,"1793"
148,"Archedemos","Male","Greek",,,,"Epigraphic corpus","2"
15768,"Archegas","Male","Greek",,,,"Epigraphic corpus","2"
149,"Archelaos","Male","Greek",,,,"Epigraphic corpus","2"
15696,"Archemachos","Male","Greek",,,,"Epigraphic corpus","2"
151,"Archenassa","Male","Greek",,,,"Epigraphic corpus","2"
15915,"Archenike","Female","Greek",,,,"Epigraphic corpus","2"
11972,"Archenos","Male","Greek",,,,"Epigraphic corpus","1792"
15607,"Archepolie","Female","Greek",,,,"Epigraphic corpus","2"
152,"Archepolis","Male","Greek",,,,"Epigraphic corpus","2"
153,"Archestratos","Male","Greek",,,,"Epigraphic corpus","2"
154,"Archias","Male","Greek",,,,"Epigraphic corpus","2"
11822,"Archiboulos","Male","Greek",,,,"Epigraphic corpus","1793"
12460,"Archidia","Female","Greek",,,,"LGPN","1792"
155,"Archikles","Male","Greek",,,,"Epigraphic corpus","2"
15679,"Archithemis","Male","Greek",,,,"Epigraphic corpus","2"
11980,"Archos","Male","Greek",,,,"LGPN","1792"
158,"Ardoubaris","Male","Thracian",,,,"Dana Onomasticon 2014","2"
159,"Areibalos","Male","Thracian",,,,"Dana Onomasticon 2014","2"
15205,"Areskos","Male","Greek",,,,"LGPN","2"
15011,"Areskousa","Female","Greek",,,,"LGPN","2"
12583,"Areta","Female","Greek",,,,"LGPN","1792"
160,"Arete","Female","Greek",,,,"Epigraphic corpus","2"
161,"Arethouse","Female","Greek",,,,"Epigraphic corpus","2"
15598,"Aretos","Male","Greek",,,,"LGPN","2"
16625,"Arg[?]","Ambiguous","Uncertain",,,,,"2"
10301,"Arianos","Male","Uncertain",,,,"LGPN","2"
15184,"Arichos","Male","Greek",,,,"LGPN","2"
164,"Arignotos","Male","Greek",,,,"Epigraphic corpus","2"
165,"Arinnas","Female","Greek",,,,"Epigraphic corpus","2"
16468,"Arissteides","Male","Greek",,,,"LGPN","2"
15664,"Arisstonike","Female","Greek",,,,"LGPN","2"
166,"Aristagoras","Male","Greek",,,,"Epigraphic corpus","2"
16030,"Aristagore","Female","Greek",,,,"LGPN","2"
12428,"Aristainete","Female","Greek",,,,"LGPN","1792"
168,"Aristainetos","Male","Greek",,,,"Epigraphic corpus","2"
12287,"Aristandros","Male","Greek",,,,"LGPN","1792"
169,"Aristarchos","Male","Greek",,,,"Epigraphic corpus","2"
170,"Aristas","Male","Greek",,,,"Epigraphic corpus","2"
171,"Aristeides","Male","Greek",,,,"Epigraphic corpus","2"
13622,"Aristeinetos","Male","Greek",,,,"LGPN","1793"
7265,"Aristenape[?]","Ambiguous","Greek",,,,"LGPN","1793"
172,"Aristenetos","Male","Greek",,,,"Epigraphic corpus","2"
173,"Aristeus","Male","Greek",,,,"Epigraphic corpus","2"
174,"Aristion","Male","Greek",,,,"Epigraphic corpus","2"
12303,"Aristippos","Male","Greek",,,,"LGPN","1792"
15662,"Aristo","Female","Greek",,,,"LGPN","2"
15328,"Aristoboula","Female","Greek",,,,"LGPN","2"
175,"Aristoboulos","Male","Greek",,,,"Epigraphic corpus","2"
12195,"Aristodemos","Male","Greek",,,,"LGPN","1792"
15159,"Aristodike","Female","Greek",,,,"LGPN","2"
15467,"Aristofon","Male","Greek",,,,"LGPN","2"
176,"Aristokles","Male","Greek",,,,"Epigraphic corpus","2"
15939,"Aristokrate","Female","Greek",,,,"LGPN","2"
177,"Aristokrates","Male","Greek",,,,"Epigraphic corpus","2"
179,"Aristomachos","Male","Greek",,,,"Epigraphic corpus","2"
16186,"Aristomandros","Male","Greek",,,,"LGPN","2"
180,"Aristomedes","Male","Greek",,,,"Epigraphic corpus","2"
181,"Aristomenes","Male","Greek",,,,"Epigraphic corpus","2"
182,"Ariston","Male","Greek",,,,"Epigraphic corpus","2"
184,"Aristoneikos","Male","Greek",,,,"Epigraphic corpus","2"
3318,"Aristonomos","Male","Greek",,,,"LGPN","2"
7505,"Arist[?]","Ambiguous","Uncertain",,,,,"1793"
187,"Arkesas","Male","Greek",,,,"Epigraphic corpus","2"
188,"Arkesilaos","Female","Greek",,,,"Epigraphic corpus","2"
14369,"Arkesilas","Male","Greek",,,,"LGPN","2"
189,"Arkesile","Female","Greek",,,,"Epigraphic corpus","2"
7827,"Armeniakon","Male","Greek",,,,"Epigraphic corpus","1793"
16689,"Armoulene","Female","Uncertain",,,,,"2"
