Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
15223,"6688","14507",,,,
14513,"6688","13883",,,,
11166,"6688",,,,,
15217,"6688",,,,,
14466,"14465","6688",,,,
16058,"16057","16057",,,,
16060,"16057","16059",,,,
5876,"3380","797",,"1020",,"wife of Kriton, son of Dionysios"
5436,"3380","1762",,,,
10201,"6156","6156",,,,
10042,"6156","335",,,,
7345,"6156","4336",,,,
8385,"6156",,,,,
14425,"134","134",,,,
5545,"134","141",,,,
5544,"134","2287",,,,
8798,"134","757",,,,
5541,"134","774",,,,
15364,"134","1128",,,,
11781,"134",,,,,
9885,"6761","246",,,,
9672,"6761",,,,,
8134,"6761|7007",,,,,
4109,"135","115",,,,
4195,"135","135",,,,
15137,"135","141",,,,
15726,"135","226",,,,
15566,"135","243",,,,
7366,"135","247",,,,
8510,"135","279",,,,
15192,"135","2287",,,,
9728,"135","2173",,,,
9849,"135","9848",,,,
4989,"135","1222",,,,
14996,"135","1232",,,,
8336,"135","8335",,,,
11766,"135","1319",,,,
8416,"135","2252",,,,
11374,"135","10906",,,,
8514,"135","1427","8513",,,
15765,"135","1546",,,,
4730,"135","4729",,,,
5894,"135",,,,,
4321,"136","4320",,,,
4249,"136","136",,,,
4291,"136","4290",,,,
5608,"5607","3891",,,,
6581,"5607",,,,,
15288,"137","1124",,,,
14515,"138","138",,,,
6295,"138",,,,,
16282,"139","2287",,,,
9852,"9850","9851",,,,
6556,"6555",,,,,
14486,"14485","1128",,,,
14169,"140","1117",,,,
11017,"140",,,,,
12434,"141","141",,"197",,
11704,"141","141",,"1770",,
4209,"141","141",,,,
5696,"141","141",,,"1385",
5483,"141","196",,"3582",,"husband of Tomion, daughter of Asklepiades"
7501,"141","234",,,,
6304,"141","316",,,,
5314,"141","393",,,,
4552,"141","4551",,,,
4312,"141","563",,,,
7991,"141","578","7992","7990",,
15134,"141","689",,,,
14443,"141","14442",,,,
5378,"141","968",,,,
15414,"141","1134",,,,
15161,"141","9647",,,,
11778,"141","1256",,,"2287",
5554,"141","1385",,,,
13363,"141","1433",,,,
5371,"141","1491",,,,
4299,"141","1534",,,,
12177,"141","12176",,,,
13753,"141","1605",,,,
3919,"141","1606",,,,
4795,"141",,"4794",,,
6264,"141",,,,,
6939,"141|578",,,,,
10320,"142","140",,,,
15231,"142","141",,,,
8273,"142","196",,,,
15744,"142","15743",,,,
8414,"142","247",,,,"from Sapaike"
8809,"142","483",,,,
15739,"142","15738",,,,
15758,"142","1136",,,,
15511,"142","15510",,,,
10715,"142","3891",,,,
8836,"142",,,"386",,
6075,"4661",,,,,
5048,"5047",,,,,
5811,"4901","1636",,,,
15252,"4390","1128",,,,
11694,"3380","5415",,"1538",,
9356,"143|967|9355",,,,,
12630,"12629",,,,,
6136,"6135|2196|3107",,,,,
5890,"5889",,,,,
16237,"16235","16236",,,,
6822,"6820|6821",,,,,
15770,"15768","15769",,,,
7902,"149","2212",,,,
15698,"15696","15697",,,,
4714,"151","944",,,,
3914,"151",,,"820",,
15917,"15915","15916",,,,
15608,"15607","774",,,,
4736,"152","1528",,,,
3909,"153","632",,,,
6705,"154","148",,,,
11824,"11822","11823",,,,
4718,"155","4717",,,,
11982,"11980","11981",,,,
9879,"159",,,,,
15012,"15011","7586",,,,
9442,"160","463",,,,
15740,"160","469",,,,
15008,"160","679",,,,
5743,"160","784",,,,
10302,"10301",,,,,
4817,"165","1308",,,,
16469,"16468",,,,,
15666,"15664","15665",,,,
16031,"16030",,,"849",,
12430,"12428","816",,"12429","816",
12521,"168","168",,,,
9877,"168",,,,,
12289,"12287","12288",,,,
4087,"169","1419",,,,
4101,"170","824",,,,
4119,"170","989",,,,
5557,"171","40",,,,
7266,"7265",,,,,
10248,"172",,,,,
12189,"174","1545",,,,
12304,"12303",,,,,
15663,"15662",,,"94",,
15329,"15328","1385",,"12166",,
15158,"175","177",,,,
9373,"175","1130",,,,
4102,"175","2516",,,,
4297,"175","1708",,,,
12196,"12195","169",,,,
15160,"15159","175",,,,
5825,"176","116",,,,
4973,"176","784",,,,
5513,"176","1739",,,,
15940,"15939","373",,,,
9130,"177","177","4232",,,
8805,"179","774",,,,
5839,"181","38",,,,
5083,"181","2287","2990",,,
15053,"182","14992",,,,
6391,"182",,,,,
4475,"182",,"2825",,,
14025,"187","469",,,,
14029,"187","1239",,,,
8407,"188","8406",,,,
14371,"14369","14370",,,,
4124,"189","2547",,,,
7828,"7827|684",,,,,
16690,"16689",,,,,
14286,"14285",,,,,
16439,"16438",,,,,
11950,"11949|2243",,,,,
12163,"191","21",,,,
8932,"8931|1299",,,,,
16391,"16390","1192",,,,
16328,"195","2195",,,,
11458,"195","1192",,,,
11443,"195","11444",,,,
9256,"195","1412",,,,
16293,"195",,,"16292",,
4802,"195",,,"3443",,
11285,"195",,,"1403",,
11264,"195",,,"10906",,
16446,"195|16445",,,,,
5814,"5813",,,,,
5874,"196","32",,,,
15104,"196","124",,,,
5487,"196","135",,"3574",,"husband of Koeis, daughter of Dion"
5551,"196","135",,,,
5622,"196","196",,,,
6284,"196","5582",,,,
5784,"196","390",,,,
15632,"196","15631",,,,
15428,"196","15427",,,,
12086,"196","12085",,,,
5565,"196","842",,,,
5771,"196","847",,,,
5455,"196","857",,"3487",,"husband of Iado, daughter of Hefaistion"
7500,"196","864",,,,
5800,"196","990",,,,
12124,"196","1132",,,,
13864,"196","1191",,,,
5505,"196","1248",,,,
11476,"196","11475",,"1544",,
11279,"196","11276",,,"11277",
5960,"196","1491",,,,
15430,"196","15429",,,,
11429,"196","1622",,,,
6050,"196","1655",,,,
11293,"196","3891",,,,
5748,"196","1757",,"132",,"husband of Apfe, daughter of Agathenor"
5862,"196","5861",,,,
5356,"196",,,,,
12424,"196|12423","1242",,,,
11346,"11344",,,"2189",,
6128,"197","200",,,,
7014,"197","200",,,,
13393,"197","10080",,,,
3899,"197","1253",,,,
12433,"197","12432",,"141",,
8610,"197",,,,,
4731,"198","1663",,,,
4143,"199","768",,,,
5816,"200","200",,,,
4543,"200","4542",,,,
5590,"200","2919",,,,
11848,"200",,,,,
12316,"12315",,,,,
5588,"5582",,,,,
4349,"201","1654",,,,
7542,"202","880",,,,
4412,"203","769",,,,
10641,"205",,,,,
8904,"8902|8903",,,,,
10494,"10493",,,,,
6933,"209","868",,,,
6440,"209","1471",,"1679",,
4483,"209","1640",,,,
16064,"209",,,,,
14993,"14992","1232",,,,
6563,"211","335",,,,
14942,"10422","1646",,,,
10423,"10422",,,,,
5518,"212","129",,"3541","390","husband of Anni Neikomedous"
5553,"212","196",,,,
6730,"212","214",,,,
9057,"212","2173",,,,
12479,"212","8728",,"569",,
14083,"212","850","14081",,,
7707,"212","1122",,,,
13913,"212","1239",,,,"teacher in Sestos"
6816,"212",,,,,
12920,"12919",,,"6610",,
12982,"12919",,,,,
13854,"13853","449",,,,
5040,"213|212",,,,,
11410,"213","11408",,,,
11460,"213","2287",,,,
11445,"213","11444",,,,
9257,"213","1412",,,,
10330,"213",,,,,
16609,"213",,"6448",,,
11941,"11940",,,,,
12768,"3935",,,"12766",,
13957,"3935",,,,,
8212,"214","1611",,,,
6972,"214",,,,,
4020,"4019",,,,,
9136,"9135",,,,,
5610,"5609","3891",,,,
4749,"215",,,,,
16332,"13763","274",,,,
15615,"15614","1457",,,,
6805,"6804",,,,,
8359,"217","8358",,,,
15824,"217","15823",,,,
4126,"4125","1151",,,,
5885,"3387","196",,"20",,"wife of Agathenor, son of Artemidoros"
15695,"15693","15694",,,,
11731,"11730","792",,,,
16076,"16075","449","16074",,,
7304,"220",,,,,
16700,"16699",,,,,
12292,"12290","12291",,,,
16702,"16701",,,,,
7412,"7411",,,,,
9975,"2213",,,,,
9768,"9767",,,,,
4516,"2838|558",,,,,
4342,"2728|2729",,,,,"from Apameia"
16698,"16697",,,,,
16073,"223","141",,,,
6423,"223","1015",,,,
6292,"223","1095",,,,
6335,"224","4608",,,,
8755,"226","71",,,,
15640,"226","15639",,,,
6280,"226","297",,,,
15736,"226","15735",,,,
9160,"226","1214",,,,
8068,"226","1215",,,,
15668,"226","15667",,,,
4285,"226","1757",,,,
5898,"226",,,,,
14950,"2541","14948",,,,
15764,"2541","564",,,,
8073,"2541","732",,"2175",,
15839,"2541","15838",,,,
4120,"2541","1383",,,,
12515,"2541",,,"56",,
6494,"2541",,,,,
16537,"228","140","11902",,,
16549,"228","793",,,,
5367,"228",,,,,
11618,"11617",,,,,
15635,"15633","15634",,,,
14940,"14938","14939",,,,
10070,"233","1562",,,,
6265,"233",,,,,
9671,"9670",,,,,
11965,"9670|1210",,,,,
8707,"8706|2243",,,,,
9710,"9709|6717",,,,,
16696,"16695",,,,,
6808,"2187|6807",,,,,
13880,"234",,,,,
16548,"234|15069",,,"1577",,
5907,"235","2582",,,"1011",
7811,"7810","532",,,,
8314,"6724|2265",,,,,
15206,"15204","15205",,,,
14990,"14987|14989",,,"14531",,
10452,"9242",,,,,
6360,"6359|2241",,,,,
13614,"13612",,,,,
10551,"240",,,,,
7933,"7931|68|7932",,,,,
15209,"7931|15207|15208",,,,,
14460,"7931",,,,,
15164,"7931",,"15163",,,
11172,"11171",,,,,
6029,"6028",,,,,
8225,"241","1594",,,,
7405,"243","243",,,,
14227,"243","247",,"3891",,
11085,"243","11084",,"9332",,
13226,"243","1192",,,,
8448,"243","1194",,,,
11069,"243",,,"11070",,
13539,"243",,,,,
7431,"245","5078",,"6214",,
16585,"16583|16584",,,,,
10826,"10825",,,,,
8476,"246","8475",,,,
9276,"246","9275",,,,
15930,"246","10906",,,,
13391,"246","1481",,,,
6016,"6015",,,,,
7417,"7416","7416",,,,
4809,"247","247",,,,
6980,"247","307",,,,
6977,"247","407",,,,
4078,"247","421",,,,
7743,"247","426",,,,
10019,"247","10018",,,,
12779,"247","485",,,,
11595,"247","812",,,,
8302,"247","886",,,,
8710,"247","999",,,,
10017,"247","10016",,,,
7442,"247","1085",,,,
13296,"247","1085",,,,
13323,"247","13322",,,,
7618,"247","2873",,,,
7397,"247",,,,,
8129,"7197","247",,,,
7437,"7197","7436",,,,
13300,"7197",,,,,
4622,"4619|4620|4621","4413",,,,
4961,"2188|3756|4960","3757",,"1337",,
12595,"2188|12306",,,"2287",,
3962,"2188|55",,,,,
12580,"2188|12579",,,,,
12584,"2188|12583",,,"12581",,
13079,"2188|13077",,,"13076",,
12774,"2188|195",,,"2452",,
10968,"2188|195",,,"10967",,
11120,"2188|195",,,,,
11342,"2188|195",,,,,
12486,"2188|3935",,,"2189",,
4014,"2188|4013",,,"524",,
4978,"2188",,,,,
9024,"2188",,"9023",,,
11123,"2188|330",,,,,
11128,"2188|330",,,,,
9530,"2188|337","2252",,,,
12709,"2188|337",,,"1219",,
12599,"2188|12597",,,"2287",,
12716,"2188|12714",,,"12712",,
12764,"2188|465",,,"14",,
13007,"2188|465",,,"13005",,
13075,"2188|13074",,,"3891",,
15526,"2188|15525",,,,,
15421,"2188|618",,,,,
12441,"2188|8768","12438",,"12438",,
12577,"2188|12576",,,,,
11388,"2188|716","654",,"1196",,
10693,"2188|791","399",,"2176",,"her husband was Markos Aurelios Hermogenes Mokazeneos "
11124,"2188|791",,,,,
12589,"2188|12587",,,"12586",,
12468,"2188|12467",,,"2189",,
9989,"2188|9988",,,,,
4016,"2188|905",,,,,
12617,"2188|12616","1642",,,,
7049,"2188|3681","2229",,,,
10836,"2188|10835",,,,,
12752,"2188|1025",,,"1640",,
12490,"2188|12489","1561",,,,
15523,"2188|12365","2189",,"15522",,
13463,"2188|13462","273",,,,
15340,"2188|15339",,"5756",,,
11801,"2188|11800",,,,,
12625,"2188|1090",,,,,
11122,"2188|11121",,,,,
11127,"2188|11126",,,,,
14985,"2188|6506",,,"2659",,
12621,"2188|7263",,,"2236",,
13067,"2188|13065",,,"1757",,
12721,"2188|12720",,,"1267",,
11105,"2188|1376","1377",,,,
