corpusname,corpusidnumeric,personname,ethnicity,gender
"IG Bulg 3,2",51793,1190,,
IG Bulg 1(2),20144,657,,
I Aeg Thrace,10353,4638,,
IG Bulg 5,75736,2189|2215,,
IG Bulg 2,30670,3095|6366,,
IG Bulg 1(2),20051,2287,,
IG Bulg 4,62033,9430|2229,,
Other,100106,15791,,
IG Bulg 2,30557,2177|2181|3262,,
"IG Bulg 3,2",51565,2176|2185|2656,,
IG Bulg 4,62331,196,,
I Aeg Thrace,10086,2465,,
IG Bulg 1(2),20437,1280,,
IG Bulg 4,62233,274,,
IG Bulg 5,75076,2287,,
"IG Bulg 3,1",40909,2176|2189|2609,,
IK Byzantion,95387,335,,
I Aeg Thrace,10286,846,,
IG Bulg 2,30748,3264|1196,,
I Aeg Thrace,10212,667,,
IG Bulg 1(2),20046,196,,
"IG Bulg 3,2",51731,1439,,
"IG Bulg 3,2",51803,9332,,
I Aeg Thrace,10437,2176|2189|2609,,
"IG Bulg 3,1",41516,1442,,
"IG Bulg 3,1",41511,2349|7718|7719,,
Other,100348,228,,
Other,100154,13763,,
I Aeg Thrace,10186,683|1548,,
Perinthos-Herakleia,80178,3935,,
Perinthos-Herakleia,80044,2196|5978,,
IG Bulg 4,62310,683,,
IG Bulg 4,61906,2189|141|2659,,
IG Bulg 4,62031,8232,,
IG Bulg 5,75333,2349,,
IG Bulg 2,30690,6540,,
Other,100330,2189|1594,,
IG Bulg 1(2),20185,5425,,
Other,100411,16599,,
Perinthos-Herakleia,80061,1150,,
IK Sestos,90035,256,,
IG Bulg 4,62260,386,,
IK Byzantion,95218,858,,
Other,100050,15621,,
IG Bulg 1(2),20008.2,1297,,
Perinthos-Herakleia,80061,12208,,
IG Bulg 2,30598,2173|2458|2204,,
"IG Bulg 3,1",41478,1214,,
IK Byzantion,95202,1645,,
"IG Bulg 3,2",51575,2412|2177|625,,
"IG Bulg 3,2",51583,5978,,
IG Bulg 5,75773,2175|6867|56,,
I Aeg Thrace,10050,1023,,
IG Bulg 1(2),20039,2779,,
IG Bulg 1(2),20286,2929,,
Other,100212,15498,,
IG Bulg 1(2),20192,1388,,
I Aeg Thrace,10250,1541,,
IG Bulg 4,62056,825,,
Perinthos-Herakleia,80181,2189|2206|783,,
IG Bulg 1(2),20327.3,3891,,
IG Bulg 2,30724,1727,,
IG Bulg 5,75638.2,1439,,
I Aeg Thrace,10136,2543,,
IG Bulg 2,30675,506,,
IG Bulg 1(2),20401,3891,,
Other,100158,8183,,
IG Bulg 1(2),20013.3,2287,,
"IG Bulg 3,2",51703,816,,
"IG Bulg 3,2",51690,2189,,
IG Bulg 4,62214,10710,,
IK Byzantion,95296,2189|15348,,
IG Bulg 1(2),20050,3891,,
IK Byzantion,95290,15333,,
IG Bulg 4,62133,1594,,
IG Bulg 1(2),20148,3538,,
IK Byzantion,96020,2189|10254,,
Perinthos-Herakleia,80059,1529,,
I Aeg Thrace,10252,203,,
IG Bulg 4,62336,11417,,
I Aeg Thrace,10382,4678,,
"IG Bulg 3,1",40942,4608,,
"IG Bulg 3,2",51806,243,,
IG Bulg 2,30856,282,,
IG Bulg 2,30663,2196,,
"IG Bulg 3,1",41517,2189|1576,,
I Aeg Thrace,10175,3891,,
IG Bulg 5,75709,2189,,
"IG Bulg 3,1",41302,2173|2204|1514,,
I Aeg Thrace,10252,3891,,
IG Bulg 5,75534,3191|2187|6807,,
IG Bulg 1(2),20116,3391,,
IG Bulg 1(2),20151,784,,
IG Bulg 1(2),20376,2196|2213,,
IG Bulg 5,75380,488,,
IK Byzantion,96023,3891,,
IG Bulg 2,30607,2189|3146,,
"IG Bulg 3,2",51690,7744,,
IG Bulg 4,62239,3191|9242,,
IG Bulg 2,30727,2176|2189|2609,,
"IG Bulg 3,1",41167,2211|9954,,
IK Byzantion,95001,122,,
I Aeg Thrace,10449,3412|3413|2257,,
"IG Bulg 3,1",41517,2189|796,,
IG Bulg 4,61925,2188,,
IG Bulg 4,62175,1729,,
IG Bulg 5,75841,5801,,
Other,100291,3891,,
IG Bulg 1(2),20109,3387,,
IG Bulg 4,62127,4601,,
IG Bulg 4,62351,2189|135,,
IK Sestos,90065,14113,,
I Aeg Thrace,10339,4619|4620|4621,,
IG Bulg 5,75104,134,,
I Aeg Thrace,10305,4575|4577,,
"IG Bulg 3,1",40964,212,,
IG Bulg 1(2),20212,4979,,
Other,100145,16302,,
"IG Bulg 3,2",51876,510,,
IG Bulg 4,62015,9388,,
"IG Bulg 3,1",41057,9332,,
IG Bulg 1(2),20050,3891,,
IG Bulg 4,62275,2997,,
IG Bulg 4,62077,6986,,
IG Bulg 4,62348,1448,,
IG Bulg 4,61938,373,,
I Aeg Thrace,10172,793,,
IG Bulg 2,30629,2176|2189|2609,,
Perinthos-Herakleia,80104,2176|2189|56,,
Perinthos-Herakleia,80126,2188|12489,,
IG Bulg 2,30721,2181|6739,,
IG Bulg 5,75707,456,,
IG Bulg 5,75857,3891,,
IG Bulg 1(2),20052,5668,,
Perinthos-Herakleia,80100,12418,,
"IG Bulg 3,1",40903,2183,,
IG Bulg 4,62270,8990|8959,,
Other,100016,2189|8196,,
IG Bulg 1(2),20115,2287|3486,,
IG Bulg 1(2),20197,3891,,
IG Bulg 1(2),20059,2179|2181|2358|2609,,
Perinthos-Herakleia,80044,2196|12098,,
I Aeg Thrace,10428,215,,
IG Bulg 4,62203,1195,,
IK Byzantion,95285,1095,,
IG Bulg 1(2),20469.2,998,,
IG Bulg 1(2),20001,2176|2189|2211,,
"IG Bulg 3,2",51698,7975,,
IG Bulg 1(2),20206.2,1248,,
Other,100159,1192,,
IK Byzantion,95308,15369,,
"IG Bulg 3,1",41517,2189|643,,
IG Bulg 4,62013,2176|2185|2656,,
IK Byzantion,95088,14448,,
IG Bulg 5,75074,11727,,
IG Bulg 1(2),20401,2235,,
IG Bulg 1(2),20047,2189|2183,,
"IG Bulg 3,1",41350,1437,,
IK Byzantion,95308,14234,,
IG Bulg 1(2),20051.2,3891,,
I Aeg Thrace,10180,2178|2196|2357|2622,,
"IG Bulg 3,1",41285,998,,
IG Bulg 1(2),20095,3336,,
IG Bulg 1(2),20370.2,681,,
IG Bulg 5,75339,4608,,
IG Bulg 1(2),20047.2,2176|2189|2193,,
IG Bulg 4,62331,1618,,
IG Bulg 2,30679,2189|2176,,
Other,100211,2481|15912,,
Perinthos-Herakleia,80219,6610,,
Perinthos-Herakleia,80275,335,,
I Aeg Thrace,10010,2177|2330,,
IG Bulg 4,62263,10967,,
Perinthos-Herakleia,80291,12017,,
IK Byzantion,95268,14020,,
IG Bulg 2,30589,2189|1143,,
Perinthos-Herakleia,80165,2188|337,,
IG Bulg 1(2),20022,3891,,
"IG Bulg 3,1",40884,2189|191,,
IG Bulg 1(2),20275,6015,,
IK Byzantion,95238,15218,,
IG Bulg 2,30507,1616,,
"IG Bulg 3,1",40882,7566|2953,,
IG Bulg 2,30816,2997,,
I Aeg Thrace,10412,135,,
IG Bulg 1(2),20046,1248,,
Other,100268,2215,,
"IG Bulg 3,1",40912,2241|7929,,
I Aeg Thrace,10426,2287,,
IG Bulg 5,75343,247,,
"IG Bulg 3,1",41522,2179|2211,,
"IG Bulg 3,1",41433,10698,,
IG Bulg 1(2),20173,3391,,
IG Bulg 1(2),20047,411,,
Perinthos-Herakleia,80014,12009,,
Other,100344,16252,,
IG Bulg 2,30640,2176|2189|2261|56|6656,,
"IG Bulg 3,2",51556,2189|390,,
Other,100014,4417|1594,,
"IG Bulg 3,1",41478,10943|1075,,
IG Bulg 4,62021,2176|2189|2261|56|6656,,
IG Bulg 5,75434,2178|2196|2234,,
IG Bulg 5,75747,2189|2243,,
"IG Bulg 3,2",51583,1085,,
IG Bulg 5,75568,3670,,
Perinthos-Herakleia,80061,537,,
"IG Bulg 3,1",41384,7676|8093,,
IG Bulg 1(2),20043,1439,,
IG Bulg 2,30706,1672,,
IG Bulg 1(2),20047,2189|2932,,
I Aeg Thrace,10387,3082,,
IG Bulg 2,30538,3238,,
IG Bulg 4,62037,2349|7718|7719,,
IK Byzantion,95169,15080,,
I Aeg Thrace,10366,4658,,
Perinthos-Herakleia,80186,2211|887,,
I Aeg Thrace,10212,1151,,
Other,100116,15811,,
"IG Bulg 3,2",51707,2176|2185|2656,,
"IG Bulg 3,1",41026,334,,
IG Bulg 2,30632,2634,,
I Aeg Thrace,10127,789,,
IG Bulg 1(2),20306,197,,
IK Byzantion,96064,2188|6506,,
IG Bulg 4,62336,213,,
IG Bulg 1(2),20337.2,674,,
IG Bulg 2,30603,3569|3570|2452,,
IG Bulg 1(2),20047.2,2176|2189|335,,
"IG Bulg 3,1",40902,7827|684,,
"IG Bulg 3,1",41356,9781|817,,
Perinthos-Herakleia,80291,2211|2204|13034,,
IG Bulg 1(2),20051.3,3891,,
"IG Bulg 3,2",51707,7941|8093,,
IG Bulg 4,61933,2177|3891|3013,,
IK Sestos,90039,683,,
"IG Bulg 3,1",41195,2185|222,,
Other,100136,15883,,
IG Bulg 4,62269,473,,
IK Byzantion,95111,138,,
IG Bulg 2,30771,9|503,,
Other,100097,15759,,
IG Bulg 5,75746,1063|522,,
IG Bulg 2,30729,27,,
IG Bulg 1(2),20142.2,779,,
IK Byzantion,95193,141,,
IG Bulg 4,62152,2176,,
IG Bulg 5,75883,13762,,
IG Bulg 4,62221,8462|443,,
"IG Bulg 3,2",51690,149,,
I Aeg Thrace,10396,3149,,
IG Bulg 1(2),20047.2,2189|135,,
IG Bulg 1(2),20052,3891,,
IG Bulg 4,62253,274,,
IG Bulg 1(2),20318,16713,,
IG Bulg 2,30480,3013,,
IG Bulg 2,30867,196,,
"IG Bulg 3,2",51859,1576,,
IG Bulg 1(2),20404,217,,
IK Byzantion,95104,254,,
IG Bulg 4,62085,683,,
IK Byzantion,95275,15278,,
IG Bulg 2,30633,2997|2998,,
IG Bulg 1(2),20051,196,,
IG Bulg 5,75214,2175|2206|3692,,
IG Bulg 5,75770,2176|2458|683,,
IK Byzantion,95287,15328,,
IG Bulg 1(2),20137,1087,,
IG Bulg 5,75793,12640,,
I Aeg Thrace,10212,175,,
Other,100138,1543,,
"IG Bulg 3,1",41517,2189|2234,,
"IG Bulg 3,1",40911,6860|6861,,
Perinthos-Herakleia,80028,2177|2181|12044|2252,,
