corpusname,corpusidnumeric,personname,ethnicity,gender
IG Bulg 2,30622,2189|3697,,
IG Bulg 4,61910,8928|212,,
"IG Bulg 3,1",41075,2189|1196,,
Other,100218,246,,
IK Byzantion,96015,3891,,
IG Bulg 2,30660,6140|2271,,
"IG Bulg 3,1",40974,46,,
IG Bulg 5,75155,1457,,
IK Byzantion,95153,3891,,
IG Bulg 4,62073,449,,
IK Byzantion,95179,12166,,
"IG Bulg 3,2",51774,2176|2412|2953,,
IG Bulg 1(2),20006,4902,,
"IG Bulg 3,1",41517,2196|644,,
IG Bulg 5,75468,2189|335,,
IK Byzantion,95185,804,,
IG Bulg 2,30618,2997|2998,,
"IG Bulg 3,1",41430,1453,,
"IG Bulg 3,2",51690,1442,,
IG Bulg 4,62313,213,,
IG Bulg 1(2),20014,2189|2603,,
IG Bulg 2,30656,16680,,
I Aeg Thrace,10351,3021,,
Perinthos-Herakleia,80136,12525|11034,,
I Aeg Thrace,10212,2173|2714|2715,,
Other,100302,2241,,
"IG Bulg 3,2",51628,2358|1196,,
IG Bulg 1(2),20047.2,2189|2287,,
I Aeg Thrace,10063,1236,,
IG Bulg 4,62177,1140,,
"IG Bulg 3,2",51773,1170,,
IG Bulg 4,62343,2189|10710,,
IG Bulg 1(2),20307.2,1696,,
IG Bulg 5,75691,4423|4777|4778,,
IG Bulg 1(2),20144,334,,
"IG Bulg 3,1",40884,2189|234,,
Other,100061,15660,,
"IG Bulg 3,2",51555,2176|2189|2609,,
IG Bulg 4,62349,11679,,
IG Bulg 4,62232,485,,
IG Bulg 1(2),20046,760,,
I Aeg Thrace,10270,4485,,
"IG Bulg 3,2",51590,2997|2283,,
IG Bulg 1(2),20283.2,1119,,
"IG Bulg 3,1",41203,2179|2238,,
"IG Bulg 3,1",41151,9932,,
IG Bulg 1(2),20429,1310,,
Perinthos-Herakleia,80145,1529,,
Perinthos-Herakleia,80187,2211|12804,,
IG Bulg 2,30506,2189|4434,,
IG Bulg 2,30874,7536,,
I Aeg Thrace,10425,1528,,
IG Bulg 5,75771,2176|2458|683,,
Perinthos-Herakleia,80290,2211,,
IG Bulg 1(2),20038,3891,,
Other,100291,3891,,
I Aeg Thrace,10258,979,,
"IG Bulg 3,2",51690,1188,,
IK Byzantion,95233,7931|15207|15208,,
"IG Bulg 3,1",41517,2188|195,,
IG Bulg 1(2),20050,5607,,
IG Bulg 4,61906,2196|2462,,
IG Bulg 1(2),20047.2,2189|1642,,
"IG Bulg 3,2",51811,8466,,
I Aeg Thrace,10213,4332,,
IG Bulg 1(2),20133,3508,,
IG Bulg 1(2),20014.2,5304,,
IG Bulg 1(2),20047.2,2189|1548,,
"IG Bulg 3,1",41355,311,,
IG Bulg 2,30664,2181|990,,
IG Bulg 1(2),20401,927,,
IK Byzantion,95316,15394,,
IG Bulg 2,30662,2458|2204,,
Other,100282,2211|16099|1508,,
Perinthos-Herakleia,80146,1527,,
IK Byzantion,95196,1577,,
Perinthos-Herakleia,80061,604,,
IG Bulg 2,30711,1754|6640,,
I Aeg Thrace,10298,2173|2204|2261,,
IG Bulg 1(2),20046,2176|2185,,
Other,100149,11294,,
I Aeg Thrace,10212,1569,,
Perinthos-Herakleia,80026,2177|12040|3235,,
"IG Bulg 3,2",51569,1196,,
IK Byzantion,95378,683,,
IG Bulg 4,62074,21,,
IG Bulg 2,30759,35|7016,,
Other,100274,954,,
IG Bulg 4,62057,9767,,
IG Bulg 2,30741,6903,,
IG Bulg 1(2),20187,73,,
Other,100070,67,,
Perinthos-Herakleia,80296,56,,
Perinthos-Herakleia,80061,909,,
IG Bulg 4,62174,4437,,
IG Bulg 5,75382,792,,
IG Bulg 5,75599,3670,,
Perinthos-Herakleia,80040,2175|2206|2261|3325|8075,,
IG Bulg 1(2),20013.2,181,,
IG Bulg 4,62228,2179|2211|10760,,
IG Bulg 5,75629,2189|249,,
IG Bulg 1(2),20340.2,1679,,
Other,100373,9774,,
IG Bulg 2,30659,2609,,
IG Bulg 1(2),20276,133,,
Perinthos-Herakleia,80149,2189|56,,
IG Bulg 1(2),20318,16693,,
IG Bulg 1(2),20202,1248,,
"IG Bulg 3,1",40989,8764|8765,,
IG Bulg 4,62072,644,,
IK Byzantion,95033,3681,,
IG Bulg 4,61922,212,,
IG Bulg 4,62214,142,,
IG Bulg 2,30846,247,,
"IG Bulg 3,2",51564,2176|2185|2656,,
IG Bulg 2,30488,2176|2412|3013,,
"IG Bulg 3,1",41410,10030|10031|10032,,
IG Bulg 1(2),20318,16709,,
IK Byzantion,96046,14960,,
IG Bulg 1(2),20290,6078,,
"IG Bulg 3,1",41097,9332,,
IG Bulg 1(2),20277,2257,,
Other,100048,15616,,
IG Bulg 1(2),20410.2,766,,
IK Byzantion,96065,14531|2626|14986,,
IG Bulg 1(2),20007.2,37,,
IG Bulg 1(2),20401,8206,,
IG Bulg 2,30749,4783|6961,,
IG Bulg 1(2),20047,2189|196,,
IG Bulg 1(2),20047.2,2189|2257,,
IG Bulg 1(2),20047,2189|459,,
IG Bulg 4,62056,9740,,
IG Bulg 1(2),20240,5916,,
Perinthos-Herakleia,80217,4811,,
IG Bulg 1(2),20218,2184|2271,,
"IG Bulg 3,1",40898,7711|7713|7714,,
"IG Bulg 3,2",51690,1085,,
IG Bulg 5,75332,3674,,
I Aeg Thrace,10253,4414,,
Perinthos-Herakleia,80098,12410,,
IG Bulg 4,62057,7186,,
"IG Bulg 3,2",51756,2176|2189|6794,,
IG Bulg 1(2),20478,4437,,
IG Bulg 5,75244,2176|2204|11926,,
IG Bulg 4,62003,7676|2257,,
IK Byzantion,95273,1768,,
IG Bulg 1(2),20047,2189|1150,,
"IG Bulg 3,1",40912,4437,,
IK Byzantion,95172,15087,,
IG Bulg 5,75932,2173|953,,
"IG Bulg 3,1",41189,56,,
IG Bulg 5,75407,2177|2358|10679,,
IK Byzantion,95062,14377,,
"IG Bulg 3,1",41517,2188|330,,
IG Bulg 4,62302,11479,,
I Aeg Thrace,10084,2173|2458|746,,
IG Bulg 4,62074,1127,,
Other,100281,2361,,
I Aeg Thrace,10416,1429,,
IG Bulg 4,62336,683,,
Other,100151,195,,
IG Bulg 1(2),20007,2189|174,,
"IG Bulg 3,1",41516,307,,
IG Bulg 1(2),20014,2189|1223,,
"IG Bulg 3,2",51593,2412|3235,,
"IG Bulg 3,1",40991,5368,,
Other,100284,16106,,
IG Bulg 2,30533,2179|2211|76,,
"IG Bulg 3,2",51590,2176|2189|2261|56|6656,,
IG Bulg 1(2),20143,20,,
Other,100343,35|1429,,
Perinthos-Herakleia,80305,2997|979,,
IG Bulg 1(2),20002,2250,,
I Aeg Thrace,10157,4150,,
Perinthos-Herakleia,80313,2189,,
IG Bulg 5,75738,2181,,
IG Bulg 4,62302,1544,,
"IG Bulg 3,1",41305,2189|485,,
Other,100063,15664,,
"IG Bulg 3,2",51690,7188,,
I Aeg Thrace,10420,979,,
"IG Bulg 3,1",41303,1197,,
IG Bulg 2,30664,6165|6166,,
IG Bulg 1(2),20047.2,2189|2182,,
IG Bulg 2,30603,2173|3568,,
IG Bulg 1(2),20276,6019,,
"IG Bulg 3,2",51713,7197,,
IG Bulg 2,30617,2609|4941,,
IG Bulg 2,30743,141|578,,
IG Bulg 1(2),20079.2,5813,,
I Aeg Thrace,10212,2173|2724|2252,,
I Aeg Thrace,10204,4213,,
IG Bulg 4,62286,1732,,
IG Bulg 1(2),20175,2173,,
"IG Bulg 3,2",51696,3434|7920,,
IG Bulg 2,30677.2,6465|6466,,
IK Byzantion,96022,116,,
IK Byzantion,96054,14415|1120,,
IG Bulg 5,75777,2173|2458|2176,,
IG Bulg 5,75368,247,,
IG Bulg 1(2),20439,1310,,
IK Byzantion,95019,570,,
Other,100008,12013,,
Perinthos-Herakleia,80151,2188|12583,,
IG Bulg 5,75244,2211|11933,,
IG Bulg 1(2),20354.4,1517,,
IG Bulg 1(2),20385,5396,,
"IG Bulg 3,1",41011,335,,
IG Bulg 2,30620,2176|2609,,
"IG Bulg 3,2",51734,241,,
"IG Bulg 3,1",40882,2175|2206|2261|3325|8075,,
IG Bulg 5,75003,11613,,
IG Bulg 5,75103,321,,
IG Bulg 1(2),20006,2252,,
IG Bulg 4,62281,1403,,
IK Byzantion,95262,15262,,
Other,1002263,16011,,
IG Bulg 1(2),20430,1279,,
"IG Bulg 3,2",51690,2233,,
"IG Bulg 3,2",51727,1476,,
IG Bulg 1(2),20047,2189|1548,,
IK Byzantion,95381,2188|12365,,
"IG Bulg 3,1",41026,6761,,
IK Byzantion,95165,1694,,
"IG Bulg 3,1",41360,1042,,
IK Byzantion,95177,390,,
"IG Bulg 3,2",51568,2189|796|1196,,
IG Bulg 1(2),20047.2,2189|2964,,
IG Bulg 1(2),20047.2,2189|756,,
I Aeg Thrace,10417,1459,,
IG Bulg 2,30857,2211|1570,,
IG Bulg 1(2),20014,2189|2252,,
IG Bulg 5,75886,2287,,
IG Bulg 1(2),20014,2189|2196,,
IG Bulg 2,30493,4859,,
IG Bulg 4,62270,9219|11253,,
"IG Bulg 3,1",41516,497,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 2,30489,3095,,
Other,100190,1592,,
"IG Bulg 3,2",51796,3713|1380,,
IG Bulg 5,75440,2412|273,,
"IG Bulg 3,1",40912,643,,
IK Sestos,90059,7186,,
IG Bulg 2,30677,1195,,
IG Bulg 2,30610,2175|2189|3146,,
"IG Bulg 3,1",41472,10646|3146,,
Perinthos-Herakleia,80113,2189,,
IK Byzantion,95373,1297,,
"IG Bulg 3,1",41517,2189|11134,,
IG Bulg 1(2),20144.2,196,,
IG Bulg 5,75257,2176|2458|683,,
"IG Bulg 3,1",41452,1160,,
IG Bulg 1(2),20323,1184,,
IG Bulg 1(2),20410,188,,
IG Bulg 1(2),20334.5,571,,
IG Bulg 4,61903,3191|2204,,
Perinthos-Herakleia,80112,5050|810,,
Perinthos-Herakleia,80130,2189|12501,,
Other,100119,217,,
IK Byzantion,95210,15154,,
I Aeg Thrace,10212,2287,,
IG Bulg 1(2),20366,5368,,
IG Bulg 1(2),20330.3,1091,,
I Aeg Thrace,10447,2175|2206|2261|3325|8075,,
Perinthos-Herakleia,80154,2189|7667|2361,,
IK Byzantion,95279,15310,,
"IG Bulg 3,1",41205,2181|1757,,
"IG Bulg 3,2",51555,2179|2211|135,,
IG Bulg 1(2),20382,4608,,
IG Bulg 5,75408,2176|2189|2261|56|6656,,
IG Bulg 1(2),20390,774,,
IG Bulg 1(2),20409.3,984,,
IK Byzantion,95220,15174,,
Perinthos-Herakleia,80007,11994,,
IG Bulg 4,62254,2188|1404,,
IG Bulg 2,30634,2997|2998,,
IG Bulg 5,75603,3325,,
IG Bulg 4,62032,2688|6860|11030,,
"IG Bulg 3,2",51690,274,,
IG Bulg 4,62077,816,,
Perinthos-Herakleia,80065,1353,,
"IG Bulg 3,1",40880,2178|2196|1347,,
IG Bulg 1(2),20314,792,,
"IG Bulg 3,1",41329,2173|9242|796,,
IK Byzantion,96034,14930|14931,,
IG Bulg 1(2),20210,2287,,
IG Bulg 1(2),20170,685,,
IG Bulg 2,30637,2609,,
IG Bulg 2,30751,2189,,
I Aeg Thrace,10275,2838|558,,
IG Bulg 2,30720,2218,,
IG Bulg 1(2),20047,2189|469,,
IG Bulg 1(2),20047.2,2189|1248|20,,
IG Bulg 5,75771,2688|6860|11030,,
Other,100045,15607,,
"IG Bulg 3,2",51690,7188,,
"IG Bulg 3,2",51557,2189|390,,
Other,100176,16397,,
"IG Bulg 3,1",40972,19,,
I Aeg Thrace,10191,135,,
IG Bulg 2,30826,7335,,
"IG Bulg 3,1",41344,10335,,
IK Byzantion,95019,558,,
IG Bulg 4,61986,9210,,
"IG Bulg 3,2",51690,497,,
IK Byzantion,95029,14296,,
Other,100273,788,,
IK Byzantion,95097,4437,,
Perinthos-Herakleia,80110,2181|12464,,
IG Bulg 1(2),20006,4899,,
"IG Bulg 3,1",40995,3713|1077,,
"IG Bulg 3,1",41517,2189|1629,,
"IG Bulg 3,1",41401,2211|1508,,
IG Bulg 4,62147,6591,,
IG Bulg 4,62056,457,,
Perinthos-Herakleia,80163,2189|2176,,
Other,100123,4441,,
IG Bulg 1(2),20047.2,2189|2287,,
Perinthos-Herakleia,80170,2189|2962,,
IG Bulg 4,62065,2211|6761,,
IK Byzantion,95222,15177,,
"IG Bulg 3,2",51741.2,2233|2202,,
IG Bulg 1(2),20183,1139,,
"IG Bulg 3,1",41512,2458|887,,
I Aeg Thrace,10030,1325,,
IG Bulg 4,62059,2181,,
IG Bulg 1(2),20385,2200,,
IG Bulg 5,75103,135,,
IK Byzantion,95162,3891,,
IG Bulg 5,75433,2183,,
IG Bulg 4,62330,1502,,
IG Bulg 5,75887,2287,,
Other,100059,15651,,
I Aeg Thrace,10251,456,,
"IG Bulg 3,2",51690,274,,
IG Bulg 4,61922,2261,,
IK Sestos,90038,14010,,
IG Bulg 1(2),20425,89,,
Perinthos-Herakleia,80061,12254,,
IG Bulg 5,75636,6677|2241,,
"IG Bulg 3,2",51851,2196|1150,,
IG Bulg 1(2),20123,3891,,
I Aeg Thrace,10084,2173|2458|196,,
IK Byzantion,95071,1587,,
"IG Bulg 3,1",41476,2189|140,,
IG Bulg 1(2),20206.4,3649,,
IG Bulg 5,75647,11583,,
I Aeg Thrace,10402,151,,
IK Sestos,90067,2173|2458|14123,,
I Aeg Thrace,10272,2833,,
Other,100094,15754,,
IG Bulg 4,62025,1424,,
IG Bulg 1(2),20049,2358,,
IG Bulg 5,75062,3380,,
IK Byzantion,95084,25,,
"IG Bulg 3,1",41185,2176,,
"IG Bulg 3,1",41069,3191|6724|6717,,
IK Sestos,90064,2458,,
Perinthos-Herakleia,80062,1546,,
IG Bulg 5,75380,547,,
IG Bulg 4,61958,9138,,
IG Bulg 1(2),20333,331,,
"IG Bulg 3,1",41357,9781|817,,
Perinthos-Herakleia,80057,12159|12160,,
IK Sestos,90009,2210|3592,,
Perinthos-Herakleia,80037,2177,,
I Aeg Thrace,10233,791,,
IG Bulg 2,30618,2176|2189|2609,,
"IG Bulg 3,1",41126,2189|469,,
Perinthos-Herakleia,80159,2189|12609,,
Perinthos-Herakleia,80309,2189|1757,,
IG Bulg 1(2),20171.2,1771,,
"IG Bulg 3,1",40883,2177|2200|5935,,
I Aeg Thrace,10297,4567,,
IG Bulg 1(2),20396,2175|2206|2261|3325|8075,,
IG Bulg 2,30604,2429,,
IG Bulg 1(2),20022,5323,,
IG Bulg 2,30680,6475,,
IG Bulg 1(2),20331,337,,
Other,100213,15919,,
Perinthos-Herakleia,80157,2188|12548,,
IG Bulg 1(2),20308.4,1413,,
IG Bulg 2,30660,6137|6138,,
IG Bulg 1(2),20319,1642,,
Perinthos-Herakleia,80103,141,,
IK Byzantion,95089,14454,,
Other,100292,16136|2176|2189|10154|2609,,
IG Bulg 5,75604,9721|2239,,
IG Bulg 5,75915,1638,,
IG Bulg 5,75337,2182|12360,,
IG Bulg 4,62002,2176|2185|2656,,
"IG Bulg 3,2",51690,1085,,
IG Bulg 5,75071,2209,,
"IG Bulg 3,1",41016,1193,,
IG Bulg 4,62233,9026,,
IG Bulg 2,30632,2261,,
IG Bulg 4,62229,10767,,
IG Bulg 5,75856,2181|1196,,
IG Bulg 1(2),20053,3891,,
IG Bulg 1(2),20286,20,,
"IG Bulg 3,1",41516,243,,
IK Byzantion,95216,12166,,
I Aeg Thrace,10084,2178|2196|910,,
IG Bulg 2,30621,2358,,
IK Byzantion,95108,14507,,
Other,100295,2179|2211|16138,,
I Aeg Thrace,10080,1308,,
Other,100096,142,,
IG Bulg 4,62283.2,11308,,
IK Sestos,90034,2249,,
IK Byzantion,95036,2177|14320|14321|1095,,
"IG Bulg 3,1",41517,2189|952,,
"IG Bulg 3,2",51690,1616,,
IK Byzantion,95303,5600,,
Other,100221,15939,,
Perinthos-Herakleia,80175,330,,
"IG Bulg 3,2",51849,2245,,
IG Bulg 4,61931,9026,,
IG Bulg 1(2),20349.3,1319,,
IK Byzantion,95294,2188|15339,,
IG Bulg 5,75833,870|675,,
"IG Bulg 3,2",51733,8221,,
IK Sestos,90057,2241,,
IG Bulg 2,30561,2178|2196|883,,
"IG Bulg 3,1",40884,2458|2234,,
Perinthos-Herakleia,80066,4559,,
IG Bulg 4,61965,212,,
IG Bulg 2,30687,2189|6498,,
"IG Bulg 3,1",41516,11050,,
IK Byzantion,95019,5938|13462,,
IG Bulg 5,75577,2211|7427,,
IG Bulg 2,30627,2634,,
Other,100195,16438,,
"IG Bulg 3,2",51817,1323,,
IK Byzantion,95355,10012,,
IK Byzantion,96055,1128,,
IK Byzantion,96004,1066,,
IG Bulg 5,75770,2349|7718|7719,,
I Aeg Thrace,10463,2176|2458|683,,
IK Byzantion,95100,1768,,
IG Bulg 1(2),20242.2,1241,,
Perinthos-Herakleia,80061,12293,,
"IG Bulg 3,2",51810,8462|2659,,
IG Bulg 1(2),20006,1347,,
Other,100195,5415,,
Perinthos-Herakleia,80061,12197,,
I Aeg Thrace,10212,1134,,
IG Bulg 4,62084,10351,,
IG Bulg 2,30617,2429,,
IG Bulg 4,62304,2175|11471|3706|2462,,
IG Bulg 4,61923,4399,,
Other,100169,16369,,
"IG Bulg 3,2",51690,7816,,
I Aeg Thrace,10212,456,,
IG Bulg 1(2),20324,297,,
IK Byzantion,95201,449,,
Perinthos-Herakleia,80064,1297,,
IG Bulg 4,62045,2412|2234,,
IK Byzantion,96003,14204,,
I Aeg Thrace,10302,465,,
IG Bulg 5,75338,5620,,
IG Bulg 1(2),20315,727,,
IG Bulg 2,30487.2,4237,,
IK Byzantion,95214,1170,,
IG Bulg 5,75103,1408,,
Other,100134,1730,,
IG Bulg 4,62048,2211|1368,,
Other,100414,1524,,
IG Bulg 4,61950,2252,,
I Aeg Thrace,10432,3341|3342,,
"IG Bulg 3,2",51801,2210|279,,
IK Byzantion,95016,14230,,
IG Bulg 2,30663,2181|2241,,
IG Bulg 5,75805,1190,,
IG Bulg 2,30674,1223,,
IG Bulg 4,62218,2179|2211|76,,
"IG Bulg 3,1",40926,6597,,
"IG Bulg 3,2",51806,1594,,
IG Bulg 2,30807,7265,,
IG Bulg 1(2),20130,2211|5707,,
IK Byzantion,95325,10012,,
IG Bulg 4,61922,1191,,
I Aeg Thrace,10084,2178|2196|274,,
IK Byzantion,95124,135,,
IG Bulg 4,61937,2173|2458|2241,,
IG Bulg 4,62040,2176|2189|2261|56|6656,,
IG Bulg 2,30730,2609,,
IG Bulg 4,62056,2349,,
I Aeg Thrace,10148,4139,,
IG Bulg 5,75061,129,,
"IG Bulg 3,2",51584,2189|2234,,
"IG Bulg 3,1",41280,10203,,
"IG Bulg 3,1",41170,2177|7042|264,,
Other,100132,2177|2181|15862,,
Other,100223,15942,,
IG Bulg 5,75311,13193,,
"IG Bulg 3,2",51624,3336|2206|3692,,
IK Byzantion,95266,1691,,
IG Bulg 4,62166,3891,,
Other,100198,16447,,
IK Byzantion,96024,827,,
"IG Bulg 3,1",41112,3891,,
"IG Bulg 3,2",51593,2412|6922,,
IG Bulg 5,75340,13275,,
IG Bulg 4,61942,493,,
"IG Bulg 3,1",40947,2412|2219,,
IG Bulg 1(2),20033,2287,,
IK Byzantion,96030,14920,,
"IG Bulg 3,1",41524,11171,,
"IG Bulg 3,2",51593,2211|2241,,
IG Bulg 2,30731,2179|2196|3013,,
Other,100109,15795,,
IG Bulg 5,75922,2287,,
IG Bulg 1(2),20424,871,,
IG Bulg 2,30517,374,,
IG Bulg 1(2),20111,1708,,
IK Byzantion,95120,14549,,
IG Bulg 5,75306,13183,,
IG Bulg 4,62286,1224,,
IG Bulg 1(2),20014,2189|812,,
IG Bulg 4,62072,2173|2458|9865,,
"IG Bulg 3,2",51735,6597,,
IG Bulg 5,75128,2229,,
"IG Bulg 3,1",40885,2178|2196|1315,,
"IG Bulg 3,2",51616,2998,,
IG Bulg 2,30545,4872,,
IK Byzantion,95379,10777,,
"IG Bulg 3,1",41147,2176|2189,,
IG Bulg 2,30682,2175,,
IG Bulg 4,62329.2,2178,,
"IG Bulg 3,2",51553,2206|2189|264,,
IG Bulg 4,62257,10971,,
"IG Bulg 3,2",51690,423,,
IG Bulg 1(2),20043.2,5526,,
IG Bulg 2,30629,2358,,
IG Bulg 4,62242,2173|10912|2241,,
IG Bulg 4,62336,457,,
IG Bulg 5,75743,2189,,
IK Byzantion,95073,674,,
IG Bulg 5,75892,6506|13795,,
IG Bulg 2,30678,2211|208,,
Other,100358,4004,,
IG Bulg 1(2),20334.2,895,,
IG Bulg 1(2),20370,2179|2211|102,,
IG Bulg 5,75439,565,,
IG Bulg 2,30867,2287,,
IG Bulg 1(2),20371,6667,,
IG Bulg 1(2),20014,2189|2208,,
I Aeg Thrace,10212,4314,,
Other,100117,15814,,
IK Byzantion,95070,1179,,
IG Bulg 1(2),20306.2,6132,,
IG Bulg 4,62082,10338,,
IG Bulg 4,62327,3891,,
IG Bulg 4,62081,213,,
Other,100279,2175|2206|2261|3325|8075,,
IG Bulg 5,75163,3727|11858,,
IG Bulg 1(2),20170,4517,,
IG Bulg 1(2),20261.2,5974,,
IG Bulg 1(2),20005,2176|2189|2261|56|6656,,
IG Bulg 4,62214,10307,,
IK Sestos,90059,9123,,
IG Bulg 1(2),20112,743,,
IG Bulg 4,62126,1032,,
IG Bulg 1(2),20047,2189|784,,
IG Bulg 1(2),20326,790,,
IG Bulg 1(2),20401,2236,,
IK Byzantion,95323,2188|618,,
I Aeg Thrace,10329,791,,
IG Bulg 5,75770,6860|6861,,
IG Bulg 2,30627,2175|2206|2261|3325|8075,,
I Aeg Thrace,10181,2626|792,,
Other,100183,16415,,
IG Bulg 4,62305,2960|2959|16661,,
IK Byzantion,95370,1411,,
IG Bulg 1(2),20028.2,196,,
IG Bulg 1(2),20110.2,3390,,
IG Bulg 5,75305,3107,,
Perinthos-Herakleia,80270,2189|12983,,
IK Sestos,90038,187,,
IG Bulg 1(2),20179.2,3380,,
IK Byzantion,95278,15013,,
IG Bulg 2,30833,1283,,
"IG Bulg 3,1",41543,2175|2206|6550,,
IG Bulg 1(2),20149,842,,
IG Bulg 5,75806,2177|6550|1162,,
"IG Bulg 3,1",41459,3712,,
Perinthos-Herakleia,80044,2196|3443,,
IG Bulg 1(2),20050,3891|2204,,
Other,100209,3073,,
IK Byzantion,95242,2264,,
Perinthos-Herakleia,80152,2176|2189|10,,
Other,100160,16351,,
IG Bulg 4,62347,11672,,
IK Byzantion,95117,14531|14532|14533,,
Perinthos-Herakleia,80108,2412|5115,,
IG Bulg 1(2),20232,3891,,
"IG Bulg 3,2",51594,2175|2626|2257,,
"IG Bulg 3,2",51865,1064,,
I Aeg Thrace,10021,3891,,
IK Sestos,90042,2287,,
IK Byzantion,95273,12365|15292,,
IG Bulg 1(2),20047.2,2189|689,,
IG Bulg 1(2),20047.2,2189|1757,,
I Aeg Thrace,10385,868,,
IG Bulg 1(2),20086.2,2176|2189|2193,,
"IG Bulg 3,1",41519,2252,,
IG Bulg 1(2),20338,1127,,
IG Bulg 1(2),20012.3,816,,
IG Bulg 2,30604,2634,,
IG Bulg 5,75121,1097,,
IG Bulg 2,30664,2609,,
IG Bulg 2,30616,2173|3689|3690,,
"IG Bulg 3,1",40947,8583,,
Other,100301,3891,,
IG Bulg 1(2),20178.2,3603,,
I Aeg Thrace,10288,84,,
IK Byzantion,95221,1694,,
IK Byzantion,95281,12426,,
Perinthos-Herakleia,80056,2176,,
IG Bulg 1(2),20340.2,209,,
IG Bulg 1(2),20078.3,116,,
"IG Bulg 3,1",41384,8091|3149|2658,,
IG Bulg 4,62123,10493,,
Perinthos-Herakleia,80188,2204|101,,
IG Bulg 1(2),20047.2,2451|2960,,
IG Bulg 1(2),20309,906,,
Perinthos-Herakleia,80180,2189|2452,,
IK Byzantion,95191,800,,
IG Bulg 4,61910,2458|692,,
IG Bulg 1(2),20186.3,1312,,
IK Byzantion,95245,1679,,
IG Bulg 2,30692,932,,
IG Bulg 1(2),20050,2971,,
IK Byzantion,95305,134,,
"IG Bulg 3,1",40935,1644,,
IG Bulg 2,30751,6991|6992,,
IG Bulg 1(2),20014,2189|1629,,
IG Bulg 1(2),20265,141,,
IK Byzantion,95060,977,,
I Aeg Thrace,10081,3891,,
IG Bulg 4,62192,1606,,
Perinthos-Herakleia,80098,12412,,
"IG Bulg 3,1",40907,3191|2187|6807,,
IG Bulg 4,61956,177,,
"IG Bulg 3,1",41342,8222,,
Perinthos-Herakleia,80062,1239,,
"IG Bulg 3,1",40884,4437|825,,
"IG Bulg 3,1",41473,2189|922,,
IG Bulg 1(2),20162,2176|2189|1513,,
IK Sestos,90013,11998,,
I Aeg Thrace,10068,2411|3935,,
Perinthos-Herakleia,80177,2189|14,,
IG Bulg 5,75648,2458|196,,
"IG Bulg 3,2",51846,999,,
IG Bulg 1(2),20274.2,6012,,
"IG Bulg 3,2",51797,1620,,
I Aeg Thrace,10255,1476,,
"IG Bulg 3,2",51565,3191|6724|6717,,
IK Sestos,90008,2176|2431,,
IG Bulg 1(2),20177,3522,,
IG Bulg 1(2),20143,784,,
IG Bulg 5,75636,13572|13573,,
IG Bulg 5,75718,2181|13661,,
IG Bulg 5,75269,1753,,
IG Bulg 1(2),20290,3891,,
IG Bulg 5,75705,2189|2243,,
IG Bulg 1(2),20086,3891,,
IG Bulg 4,62192,2229,,
IG Bulg 1(2),20078,20,,
IG Bulg 4,62325,195,,
"IG Bulg 3,1",41449,641|6717,,
I Aeg Thrace,10084,2467,,
Perinthos-Herakleia,80179,2189|12769,,
"IG Bulg 3,1",41024,9653,,
IG Bulg 1(2),20026,1363,,
IG Bulg 5,75372,13326,,
IG Bulg 4,62192,10646|10647,,
I Aeg Thrace,10091,4019,,
IG Bulg 1(2),20335.4,3891,,
IG Bulg 1(2),20383.2,335,,
"IG Bulg 3,2",51701,586,,
IG Bulg 4,62122,3891,,
IG Bulg 2,30770,2181|456,,
"IG Bulg 3,1",41452,116,,
IK Byzantion,95057,14363,,
I Aeg Thrace,10411,3207,,
"IG Bulg 3,2",51690,1508,,
"IG Bulg 3,2",51690,1558,,
IG Bulg 1(2),20251,3336|2181|2200|5115,,
Other,100144,2173,,
Perinthos-Herakleia,80127,10356,,
IG Bulg 2,30814,220,,
"IG Bulg 3,2",51691,135,,
IG Bulg 1(2),20022,1321,,
"IG Bulg 3,1",41254,4437,,
Other,100078,15716,,
IK Byzantion,96031,2176|14922|14923,,
Perinthos-Herakleia,80062,12214,,
IG Bulg 4,62086,1604,,
IG Bulg 2,30781,3674,,
IG Bulg 1(2),20294,6097,,
I Aeg Thrace,10286,1222,,
IK Byzantion,95063,1231,,
Perinthos-Herakleia,80162,2189|2236,,
IG Bulg 1(2),20463.2,121,,
I Aeg Thrace,10115,1154,,
IG Bulg 5,75515,13434|2658,,
IG Bulg 1(2),20206.2,4996,,
IG Bulg 1(2),20452,1762,,
I Aeg Thrace,10116,1233,,
"IG Bulg 3,2",51777,1454|2688,,
IG Bulg 4,62004,485,,
IG Bulg 1(2),20107,133,,
I Aeg Thrace,10099,2175|2185,,
Perinthos-Herakleia,80149,2188|12576,,
"IG Bulg 3,2",51690,1194,,
Perinthos-Herakleia,80004,1231,,
IK Byzantion,95019,2175|12522|12401,,
IG Bulg 1(2),20169,3582,,
IG Bulg 1(2),20292,20,,
"IG Bulg 3,2",51797,2179|2211|56,,
"IG Bulg 3,2",51648,7287,,
IG Bulg 4,62234,3891,,
IG Bulg 5,75694,12013,,
IG Bulg 4,62291,10906,,
IG Bulg 1(2),20051,2973,,
"IG Bulg 3,2",51756,2176|2189|1196,,
IG Bulg 2,30628,2429,,
IG Bulg 2,30629,2609,,
IG Bulg 1(2),20120,1529,,
IG Bulg 2,30620,2634,,
