personalname,parentname,ethnicname,partnername,grandparentname,ethnicity,gender
12214,12217,,,,,
12218,14189,,,,,
12218,1150,,,,,
1222,1702,,1771,,,
1222,1222,,,,,
12221,2287,,,,,
12228,1545,12229,,,,
1223,4213,,,,,
1223,,,,,,
12234,3891,,,,,
12238,12239,,,,,
1224,510,,,,,
12247,176,,,,,
12249,12250,,,,,
12252,137,,,,,
12254,3891,,,,,
12254,2374,,,,,
12257,838,,,,,
12259,12260,,,,,
12264,12265,,,,,
12268,3891,,,,,
12270,3891,,,,,
12276,196,,,,,
1228,1384,,,,,
12287,12288,,,,,
12290,12291,,,,,
12293,,,,,,
12303,,,,,,
12305,,,,,,
12306,,,,,,
1231,,,,,,
1231,12245,,,,,
1231,1231,,,,,
1231,14380,,,,,
12313|12373,,,1629,,,
12315,,,,,,
1232,213,,,,,
1233,4093,,,,,
12330,12331,,,,,
12333,12334,,,,,
12334,,,,,,
12339|816,,,,,,
1234,,,,,,
12341,12342,,,,,
12344,12345,,,,,
12349,12351,,,,,
12349|13016,,,,,,
12356,,,,,,
1236,1113,,,,,
1236,182,,,,,
12360,,,,,,
12362|8912,,,,,,
12365|15292,,,,,,
12365|16519|16520|16521,,,399,,,
12370,2229,,,,,
1239,1576,5756,,,,
1239,,,,,,
12394,141,,335,,,
12397,56,,335,,,
124,15944,,,,,
124,14038,,,,,
124,12518,,9144,,,
124,141,,,,,
12403,689,,,,,
1241,679,,,,,
1241,,,,,,
12410,12411,,,12412,,
12411,,,2179,,,
12412,,,,,,
12415|12416,,,3891,,,
12418,141,,2452,,,
12421,2251,,,,,
12426,196,,,,,
12426,,,,,,
12426,,,997,,,
12426,449,,,,,
12428,816,,12429,816,,
12429,566,,12428,,,
1243,393,,630,,,
12456|2241,12411,,,,,
12467,997,,,,,
1248,857,,,,,
1248,784,,,,,
1248,1739,,,,,
1248,141,,,,,
1248,20,,5846,,,
1248,20,,291,,,
1248,196,,,,,
1248,1248,,,456,,
1248,,,,,,
12482,,,335,,,
12504,15042,,,,,
12508,570,,,,,
12516|2272,,,,,,
12518,,,,,,
12522|12524,,,12525,,,
12525|11034,,,12522,,,
12525|3670,12525,,,,,
1253,1253,,,,,
12548,,,15862,,,
12552,,,,,,
12559,,,1769,,,
1256,,,,,,
12581,,,2188,,,
12590|12591,12586,,,,,
1260,485,,,,,
12602|12603|9144,,,846,,,
12629,,,,,,
1263|2688,,,,,,
12640,,,,,,
12652|5978,,,,,,
12658|11034,,,10679,,,
1267,390,,,,,
1267,,,,,,
1267,2253,,,,,
1267,2196,,,,,
1267,,,12720,,,
12679,2211,,,,,
127,127,,,,,
1272,,,,,,
1272,,,,,,
12724,,,,,,
1273,401,,,,,
12755|644,,,,,,
12758,,11902,,,,
1277,,,,,,
1277,,,,,,
1278,1192,,1082,,,
1279,807,,,,,
