personalname,parentname,ethnicname,partnername,grandparentname,ethnicity,gender
2189,2458,,,,,
2189,792,,3761,,,
2189,8170,,,,,
2189,442,,,,,
2189,11134,11148,,,,
2189,209,,,,,
2189,196,,,,,
2189|10012,908,,,,,
2189|1009,10,,,,,
2189|1020,2920,,,,,
2189|1021,654,2589,,1616,,
2189|10254,,,3935,,,
2189|1046,,,,,,
2189|10710,654,,,,,
2189|1072,,,11344,,,
2189|1073,129,,,,,
2189|1075,,,,,,
2189|1087,1248,,,,,
2189|1107,,,,,,
2189|11109,,,,,,
2189|11111,,,,,,
2189|11134,2189,,,,,
2189|11144,1682,,,,,
2189|11146,9461,,,,,
2189|11150,887,,,,,
2189|1119,1119,,,,,
2189|1119,,,,,,
2189|11224,,,,,,
2189|1139,20,,,,,
2189|11398,,,,,,
2189|1143,,,,,,
2189|1150,212,,,,,
2189|11646,,,,,,
2189|1183,1248,,,,,
2189|1183,124,,,,,
2189|1183,2917,,,,,
2189|1183,,,,,,
2189|1194,,,,,,
2189|1195,1420,,,,,
2189|1196,2454,,7007,,,
2189|1196,,,,,,
2189|1196,1196,,,,,
2189|1196,2458,,,,,
2189|1196,11192,,,,,
2189|1196,2287,,,,,
2189|1196,449,,,,,
2189|1197,,,,,,
2189|1219,12707,,337,,,
2189|1223,2601,,,,,
2189|124,236,,,,,
2189|124,2263,,,,,
2189|124,2929,,,,,
2189|1241,,,,,,
2189|1242,,,,,,
2189|12438,12439,,2188,,,
2189|1248,1529,,,,,
2189|1248,2218,,,,,
2189|1248,2601,,,,,
2189|1248,727,,,,,
2189|1248,2933,,,,,
2189|1248,,,,,,
2189|1248|20,5221,,,,,
2189|12487,,,2188,,,
2189|12501,12501,11902,8137,,,
2189|12586,,,12587,,,
2189|12606,,,,,,
2189|12609,,,,,,
2189|12611,,,,,,
2189|12613,,,2188,,,
2189|12644,,,,,,
2189|1268,461,,,,,
2189|12712,12713,,12714,,,
2189|12713,,,,,,
2189|12718,,,,,,
2189|12753,,,,,,
2189|12760,,5725,,,,
2189|12766,1769,6448,3935,,,
2189|12769,,,,,,
2189|12878,,,,,,
2189|1288,812,,,,,
2189|12880,,,,,,
2189|129,129,,,,,
2189|1296,,,,,,
2189|12983,,,,,,
2189|1299,,,,,,
2189|13005,,,465,,,
2189|13068,1757,,,,,
2189|13070,,,,,,
2189|13076,,,13077,,,
2189|1308,212,,,,,
2189|1308,456,,,,,
2189|1337,,,,,,
2189|1349,13417,,,,,
2189|135,2204,,,,,
2189|135,5655,,,,,
2189|135,,,,,,
2189|135,1139,,,,,
2189|135,20,,,,,
2189|13545,,,,,,
2189|1356,2188,,,,,
2189|136,,,,,,
2189|13638,,,,,,
2189|13646,,,,,,
2189|137,,,,,,
2189|13709,,,,,,
2189|1373,2600,,,,,
2189|1373,,,,,,
2189|1388,200,,,,,
2189|14,12762,12765,465,,,
2189|140,135,,,,,
2189|1403,1267,,,,,
2189|1403,,,,,,
2189|141,,,,,,
2189|141|2659,,,,,,
2189|1416,842,,,,,
2189|1424,,,,,,
2189|1433,3107,,,,,
2189|1433,,,,,,
2189|1529,,,,,,
2189|15343,,,,,,
2189|15346,689,,,,,
2189|15348,,,,,,
2189|15424|15426,,,,,,
2189|1546,497,,,,,
2189|1548,2176,,,,,
2189|1548,1548,,,,,
2189|1548,,,,,,
2189|1548,990,,,,,
2189|1576,,,,,,
2189|1576,1645,,,,,
2189|1576,,,,,,
2189|158,158,,,,,
2189|1594,264,,,,,
2189|1594,1201,,,,,
2189|16023,158,,,,,
2189|1616,1508,,,,,
2189|1629,996,,,,,
2189|1629,2194,,,,,
2189|16360|135,,,,,,
2189|1640,2204,,,,,
2189|1640,,7721,,,,
2189|1640,,,1025,,,
2189|1640,1598,,,,,
2189|1640,1183,,,,,
2189|1642,2659,,,,,
2189|1642|3729,,,,,,
2189|1645,1129,,,,,
2189|1645,456,15411,,,,
2189|1645,2659,,,,,
2189|1649,1416,,,,,
2189|1650,2454,,,,,
2189|16562,,,,,,
2189|1708,1248,,,,,
2189|1708,1708,,,,,
2189|1708,56,,,,,
2189|1708,5153,,,,,
2189|172,,,,,,
2189|172,,,,,,
2189|174,,,,,,
2189|1757,2917,,,,,
2189|1757,,,13065,,,
2189|1759,1645,,,,,
2189|191,,,,,,
2189|191|7654,,,,,,
2189|196,756,,,,,
2189|196,1702,,,,,
2189|196,2287,,,682,,
2189|196,2287,,,,,
2189|196,,,,,,
2189|196,158,,,,,
2189|20,2928,,,,,
2189|20,756,,,,,
2189|20,2929,,,,,
2189|20,2229,,,,,
2189|200,2287,,,,,
2189|209,233,,,,,
2189|212,1128,,,,,
2189|212,212,,,,,
2189|212,,,,,,
2189|214,,,,,,
2189|214,2181,,,2229,,
2189|214,,,,,,
2189|214,2173,15406,,,,
2189|2175,,,3891,,,
2189|2176,1642,,,,,
2189|2176,2287,,,,,
2189|2176,9185,,,,,
2189|2176,732,,,,,
2189|2176,2176,,,,,
2189|2176,2176,,,,,
2189|2176,,,,,,
2189|2176,2932,,,,,
2189|2176,1548,,,,,
2189|2176,,11902,6506,,,
2189|2177|1645,,15402,,,,
2189|2182,792,,,,,
2189|2183,613,,,,,
2189|2185,2931,,,,,
2189|2196,5104,,,,,
2189|2196,7186,,,,,
2189|2198,135,,,,,
2189|2199,1297,,,,,
2189|2200,,,,,,
2189|2204,2265,,,,,
2189|2204,129,,,,,
2189|2206|783,,,,,,
2189|2208,2241,,,,,
2189|221,1248,,,,,
2189|221,2932,,,,,
2189|221,1708,,,,,
2189|2211,2239,,,,,
2189|2211,,,,,,
2189|2211,20,,,,,
2189|2211,2224,,,,,
2189|2215,,,,,,
2189|2218,2196,,,,,
2189|2218,1073,,,,,
2189|2219,516,,,,,
2189|2219,5115,,,,,
2189|2220,,,,,,
2189|2228,2196,,,,,
2189|2229,,,,,,
2189|2230,2241,,,,,
2189|2233,,,,,,
2189|2234,2287,,,,,
2189|2234,,,,,,
2189|2236,2236,11902,7263,,,
2189|2241,,,,,,
2189|2241,348,,11871,,,
2189|2243,,,,,,
2189|2246,,,,,,
2189|2252,1629,,,,,
2189|2252,,,,,,
2189|2255,,,,,,
2189|2257,1183,,,,,
2189|2260,,,,,,
2189|2261,540,,,,,
2189|2268,1150,,,,,
2189|2269,236,,,,,
2189|2272,56,,,,,
2189|228,2190,,,,,
2189|2287,124,,,,,
2189|2287,,,12306,,,
2189|2287,2928,,,,,
2189|2287,1139,,,,,
2189|2287,1128,,,,,
2189|2287,2241,,,,,
2189|2287,682,,,,,
2189|2287,2287,,,354,,
2189|2287,2218,,,,,
2189|2287,236,,,,,
2189|2287,135,,,,,
2189|2287,129,,,,,
2189|2287,,,,,,
2189|2287,,,12597,,,
2189|2287|11601,,,,,,
2189|234,,,,,,
2189|2452,,,,,,
2189|2452,129,,,,,
2189|2452,456,6448,195,,,
2189|2458,,,,,,
2189|246,335,,,,,
2189|249,,,,,,
2189|2582,,,,,,
2189|260,1119,,,,,
2189|2600,124,,,,,
2189|2602,5118,,,,,
2189|2603,1297,,,,,
2189|264,,,,,,
2189|264,335,,,,,
2189|2659,5339,,,,,
2189|2659,1336,,,,,
2189|2659,,,6506,,,
2189|2833,,,,,,
2189|2917,2917,,,,,
2189|2928,,,,,,
2189|2932,2176,,,,,
2189|2932,58,,,,,
2189|2932,1548,,,,,
2189|2935,2218,,,,,
2189|2962,,,,,,
2189|2964,2933,,,,,
2189|2965,645,,,,,
2189|299,56,,,,,
2189|3112,842,,,,,
2189|3114,129,,,,,
2189|3146,,,,,,
2189|3173,2287,,,,,
2189|3178,,,,,,
2189|3191,,,,,,
2189|3191,3443,,,,,
2189|3241,,,,,,
2189|3258|3938,,,,,,
2189|335,1529,,,,,
2189|335,728,,,,,
2189|335,,,,,,
2189|342,,11902,2287,,,
2189|3697,,,,,,
2189|3735,212,11902,1638,,,
2189|3757,,,3758,,,
2189|3891,,,,,,
2189|390,6688,,,,,
2189|392,335,,,,,
2189|393,1248,,,,,
2189|399,1598,,,,,
2189|399,399,,,,,
2189|4197,,,,,,
2189|440,,,,,,
2189|442,212,,,,,
2189|4434,1729,,4867,,,
2189|449,,,,,,
2189|449,7975,,,,,
2189|449,200,,,,,
2189|456,,,12548,,,
2189|456,2287,,,,,
2189|456,,,,,,
2189|459,5153,,,,,
2189|459,1183,,,,,
2189|459,2176,,,,,
2189|459,783,,,,,
2189|463,212,,,,,
2189|469,1462,,,,,
2189|469,,,,,,
2189|469,2229,,,,,
2189|485,2175,,,,,
2189|485,,,,,,
2189|4857,,,,,,
2189|4909,,,,,,
2189|506,1196,,,,,
2189|5115,,,,,,
2189|5115,,,,,,
2189|5151,2287,,,,,
2189|5153,2932,,,,,
2189|5582,,,,,,
2189|56,2188,,,,,
2189|56,56,,,,,
2189|56,5274,,,,,
2189|56,,,,,,
2189|56,1740,,,,,
2189|564,645,,,,,
2189|564,564,,,,,
2189|56|7248,,,,,,
2189|571,2965,,,,,
2189|578,578,,,,,
2189|5856,1529,,,,,
2189|5856,1132,,,,,
2189|5978|6848|1587,,,,,,
2189|6156,,,,,,
2189|635,2920,,,,,
2189|6373,6373,,,,,
2189|643,12506,11902,2188,,,
2189|643,264,,,,,
2189|643,208,,,,,
2189|6498,,,,,,
2189|6610,,,,,,
2189|6622|451,,,,,,
2189|6678,,,,,,
2189|6717,,,,,,
2189|682,1548,,,,,
2189|682,1183,,,,,
2189|683,,,,,,
2189|6850,,,,,,
2189|6875,,,,,,
2189|689,1308,,,,,
2189|7117,,,,,,
2189|7132,,,,,,
2189|718,2204,,,,,
2189|718,792,,,,,
2189|7186,2196,,,,,
2189|727,456,,,,,
2189|732,2930,,,,,
2189|732,5104,,,,,
2189|7516,264,,,,,
2189|756,2934,,,,,
2189|756,756,,,,,
2189|7650,,,,,,
2189|7658,,,,,,
2189|7667,,,,,,
2189|7667|2361,,11902,,,,
2189|781,511,,,,,
2189|781,2458,,,,,
2189|784,756,,,,,
2189|784,2176,,,,,
2189|784,236,,,,,
2189|787,799,,,,,
2189|792,2176,,,,,
2189|792,2179,,,,,
2189|792,792,,,,,
2189|796,1196,,,,,
2189|796,1539,,,,,
2189|796,,,,,,
2189|796,2458,,,,,
2189|796|1196,,,,,,
2189|7975|6717,,,,,,
2189|812,2175,,,,,
2189|816,,,,,,
2189|8196,,,,,,
2189|823,,,,,,
2189|825,,,,,,
2189|825,2719,,,,,
2189|842,5112,,,,,
2189|842,2218,,,,,
2189|846,,,12602,,,
2189|847,141,,,,,
2189|849,898,,,,,
2189|8501,,,,,,
2189|8865,1196,,,,,
2189|887,11111,,,,,
2189|887,556,,,,,
2189|8912,,,,,,
2189|8926,672,,,,,
2189|9026,9026,,,,,
2189|9123,,,,,,
2189|922,273,,,,,
2189|932,,,,,,
2189|9398,,,,,,
2189|9461,212,,,,,
2189|952,1336,,,,,
2189|952,791,,,,,
2189|9528,,,,,,
2189|955,1576,,,,,
2189|9573,1190,,,,,
2189|9840,,,,,,
2189|990,990,,,,,
2189|9928,,,,,,
2191,1222,,,,,
2191|3343,,,3341,,,
2193,6672,,,,,
2193|7554,,,,,,
2195,306,,,,,
2196,,,,,,
2196,2241,,2178,,,
2196,141,,,,,
2196|11102,6868,,,,,
2196|1150,,,,,,
2196|12098,2178,,,,,
2196|12311,,,,,,
2196|12501,,,8137,,,
2196|1377,1377,,,,,
2196|1562,,,,,,
2196|1626,,,,,,
2196|2176,2196,,,,,
2196|2176,,,,,,
2196|2212,,,,,,
2196|2213,,,,,,
2196|2229,,,,,,
2196|2241,,,,,,
2196|234,,,,,,
2196|241,,,,,,
2196|2462,,,,,,
2196|2930,,,,,,
2196|3443,2178,,,,,
2196|3685,,,,,,
2196|3712,,,,,,
2196|3741,,,,,,
2196|5978,2178,,,,,
2196|644,,,,,,
2196|6614,,,,,,
2196|6622,,,,,,
2196|688,,,,,,
2196|7039,,,,,,
2196|810,1529,,,,,
22,451,4232,,,,
220,,,,,,
2200,8026,,,,,
2201|2262,,,,,,
2202|2219,,,,,,
2203,,,,,,
2203|2256,,,,,,
2204,13279,,,,,
2204,621,,,,,
2204|101,,,12806,,,
2204|1508,,,,,,
2204|1639,,,,,,
2204|1642,6149,,,,,
2204|2215,,,,,,
2204|2232,,,,,,
2204|2241,,,,,,
2204|2243,,,,,,
2204|6149,,,,,,
2204|6149,,,,,,
2204|67,,,,,,
2204|683,,,,,,
2204|9528,,,,,,
2206,,,,,,
2206|2189|264,,,,,,
2206|2659,,,,,,
2208|2268,,,,,,
2209,,,,,,
2209|842,,,,,,
2210,1377,,,,,
2210,,,,,,
2210|10777,381,,,1377,,
2210|139,,,,,,
2210|1678,,,,,,
2210|279,,,,,,
2210|2848,,,,,,
2210|3332,,,,,,
2210|3592,,,2196,,,
2210|45,,,,,,
2210|791,,,,,,
2210|7976,,,,,,
2210|7976,209,,,,,
2211,,,,,,
2211,140,,,,,
2211,11928,,,,,
2211|1085,1508,,,,,
2211|11933,,,,,,
2211|1196,,,,,,
2211|124,,,,,,
2211|12804,,6448,,,,
2211|13008,,,,,,
2211|13031,,,,,,
2211|1327,,,,,,
2211|13360,,,,,,
2211|1347,,,,,,
2211|1368,,,,,,
2211|13972,,,,,,
2211|141,,,,,,
2211|1432,,,,,,
2211|1508,,,,,,
2211|1570,52,,,,,
2211|16099|1508,,,,,,
2211|16101,16103,,,,,
2211|16108,,,,,,
2211|16266|2241,,,16267,,,
2211|16526,,,,,,
2211|1739,,,,,,
2211|208,,,,,,
2211|2173,,,,,,
2211|2204|13034,,,,,,
2211|2229,,,,,,
2211|2234,,,,,,
2211|2241,,,,,,
2211|2243,,8458,,,,
2211|2252,,,,,,
2211|2460,,,,,,
2211|2659,,,,,,
2211|2664,,8919,,,,
2211|3178,,,,,,
2211|3476,,,,,,
2211|3706,,,,,,
2211|3722,,,,,,
2211|3732,,,,,,
2211|399,,,,,,
2211|451,,,,,,
2211|456,,,12798,,,
2211|487,654,,1426,76,,
2211|5115,,,,,,
2211|56,,,,,,
2211|5707,,,1718,,,
2211|5978,,,,,,
2211|611,7832,,,,,
2211|643,,,,,,
2211|654,,,10767,,,
2211|6761,,,,,,
2211|72,,,,,,
2211|728,,,,,,
2211|7427,2462,,,,,
2211|7427,,,,,,
2211|76,76,,,,,
2211|76,,,,,,
2211|7783,,,,,,
2211|816,,,,,,
2211|868,,,,,,
2211|887,,5725,12801,,,
2211|9954,,,,,,
2211|997,,,12426,,,
2211|998,4717,,,,,
2212,2258,,,2277,,
2213,,,,,,
2215,,,,,,
2215,16047,,,,,
2215|605,,,,,,
2218,,,,,,
2219,,,,,,
2220,2258,,,2277,,
2221,,,,,,
2222,2222,,,,,
2229,4235,,,,,
2229,497,,,,,
2229,,,,,,
2229,,,,,,
2229,,,455,,,
2229,1616,,,,,
2229,2348,,,,,
2229,2458,,,,,
2229,2229,,,,,
2229,2229,,,,,
2229,792,,,,,
2229,457,,,,,
2229|56,,,,,,
223,1095,,,,,
223,141,,,,,
223,1015,,,,,
2233,,,,,,
2233,353,,,,,
2233,1085,,,,,
2233,2176,,,,,
2233,1442,,,,,
2233,519,,,,,
2233|1539,,,,,,
2233|2202,,,,,,
2234,508,,,,,
2234,,,,,,
2235,2196,,,,,
2235,831,,,,,
2236,2236,,,,,
2237|12516|2257,,,7091,,,
2238,,,11288,,,
224,4608,,,,,
2240,,,,,,
2240,2258,,,2277,,
2241,,,,,,
2241,1581,,,,,
2241,1640,,,,,
2241,1776,,,,,
2241,,16157,,,,
2241,2195,,,,,
2241,2196,,,,,
2241,2241,,,,,
2241|2189,,,,,,
2241|268,,,,,,
2241|7929,,,,,,
2242,2243,,,,,
2243,2204,,,,,
2243,,,,,,
2243,2243,,,,,
2243,2452,,,,,
2244,,,,,,
2245,,,,,,
2245,8728,,,,,
2246,,,,,,
2246,2176,,,,,
2249,2357,,,,,
2250,2258,,,2277,,
2251,,,,,,
2251,6940,,,,,
2252,9083,,,,,
2252,1522,,,,,
2252,,,,,,
2252,3891,,,,,
2253,,,,,,
2254,2254,,,,,
2254,274,,,,,
2255|3241|2239,,,,,,
2257,10052,,,,,
2257,449,,,,,
2257,141,15407,,,,
2257,,,,,,
2257,2257,,,1576,,
2257,2243,,,,,
2257|7267,,,,,,
2257|8079,586,,,,,
2257|8959,,,,,,
2258,,,1085,,,
2258,,,,,,
2258,2277,,3891,,,
2258,2182,,,,,
2258|3327,,,,,,
226,15735,,,,,
226,71,,,,,
226,15639,,,,,
226,297,,,,,
226,1214,,,,,
226,1215,,,,,
226,15667,,,,,
226,1757,,,,,
226,,,,,,
2260,307,,,,,
2260,,,,,,
2260,1361,,,,,
2260,1194,,,,,
2261,,,,,,
2261,3246,,,,,
2261,1240,,,,,
2264,8728,,556,,,
2264,15225,,,,,
2264,140,,,,,
2264,794,,,,,
2264|15055,,,,,,
2265,3050,,,,,
2266,,,,,,
2267,1611,,,,,
2270,796,,,,,
2272,7197,,,,,
2272,,,,,,
2277,2175,,,,,
2277,750,,,,,
2277,,,,,,
2278,2258,,,2277,,
228,,,,,,
228,793,,,,,
228,140,11902,,,,
2287,2176,,,,,
2287,,,,,,
2287,20,,,,,
2287,28,,,,,
2287,2181,,,2229,,
2287,57,,,,,
2287,116,,,,,
2287,124,,,,,
2287,128,,,,,
2287,129,6448,,,,
2287,135,,,,,
2287,141,,,,,
2287,141,,,,,
2287,11408,,,,,
2287,6724,,,,,
2287,2204,,,,,
2287,2929,,,,,
2287,390,,,,,
2287,399,5725,,,,
2287,14491,,,,,
2287,434,,,,,
2287,2287,,,,,
2287,2287,3008,,,,
2287,4272,,,,,
2287,4540,,,,,
2287,497,,,,,
2287,499,,,,,
2287,568,,,,,
2287,689,,,,,
2287,5415,,3621,,,
2287,728,,,,,
2287,775,,,,,
2287,846,,,,,
2287,15433,,,,,
2287,997,,,,,
2287,1022,,,,,
2287,1119,,,,,
2287,1128,,,,,
2287,15264,,,,,
2287,1183,,,,,
2287,13774,,,,,
2287,1266,,,,,
2287,1272,,,,,
2287,1274,,,,,
2287,1372,,,,,
2287,1388,,1379,,,
2287,5574,,,,,
2287,2257,,3522,,,
2287,1533,,1078,,,
2287,1636,,,,,
2287,1642,,,,,
2287,1652,,,,,
2287,1761,,,,,
2287,15720,,,,,
2287,4745,,,,,
2287|1297,842,,,,,
2287|3486,2287,,3487,,,
2287|9495,,6178,,,,
23,,,,,,
23,141,,,,,
233,,,,,,
233,1562,,,,,
234,,,,,,
234|15069,,,1577,,,
2348|11,,4232,,,,
2349,1745,,,,,
2349,,,,,,
2349|2175,,,723,,,
2349|7718|7719,,,,,,
235,2582,,,1011,,
2352,,,,,,
2358,,,,,,
2358,2429,,,,,
2358|1196,,,,,,
2358|2357|2634|2429|4188,,,,,,
2358|2429|2357|8016,,,,,,
2361,,,,,,
24,,,,,,
240,,,,,,
241,1594,,,,,
2411|2251,,,,,,
2411|3935,,,,,,
2412,,,,,,
2412,6135,,,,,
2412|2177|625,,,,,,
2412|2219,,,,,,
2412|2229,,,,,,
2412|2234,,,,,,
2412|264,264,,,,,
2412|27,,,,,,
2412|273,,,,,,
2412|3235,,,,,,
2412|374,,,,,,
2412|4580,,,,,,
2412|5115,,,2997,,,
2412|6922,,,,,,
2412|694,,,,,,
2412|812,,,,,,
2412|847|1223,,,,,,
2412|9616,,,,,,
2416,,,,,,
2418|2419|2992,2418,,,,,
2429,,,,,,
2429,16035,,,,,
2429|1196,,,,,,
2429|2634|2622,,,,,,
2429|4188,,,,,,
243,243,,,,,
243,11084,,9332,,,
243,1194,,,,,
243,,,11070,,,
243,,,,,,
243,247,,3891,,,
243,1192,,,,,
2431,,,,,,
2445,2243,,,,,
2445|2446,,,14,,,
245,5078,,6214,,,
2451|2960,,,,,,
2452,2176,,11271,,,
2452,,,,,,
2452,2176,,12418,,,
2452,,,,,,
2452,14258,,,,,
2454,1587,,,,,
2457,689,,,,,
2458,575,,,,,
2458,951,,,,,
2458,2176,,,,,
2458,,,,,,
2458|11448,,,403,,,
2458|13536,,,,,,
2458|16160,,,,,,
2458|16162,,,,,,
2458|196,,,,,,
2458|2185,,,,,,
2458|2204,,,,,,
2458|2229,,,,,,
2458|2231,,,,,,
2458|2234,,,,,,
2458|2238,,,,,,
2458|2241,15862,,,,,
2458|2241,,,,,,
2458|2272,2236,,,,,
2458|2953,,,,,,
2458|3688,,,,,,
2458|643,,,,,,
2458|6707,,,,,,
2458|692,,,,,,
2458|7670,,,,,,
2458|8127,,,,,,
2458|868,,,,,,
2458|887,,,,,,
2458|998,,,,,,
246,10906,,,,,
246,1481,,,,,
246,9275,,,,,
246,8475,,,,,
2460,441,,,,,
2460,3240,,,,,
2462,998,,,,,
2462,2466,,,,,
2462,,10321,,,,
2465,1698,,,,,
2466,295,,,,,
2466,,,,,,
2466,2454,,,,,
2467,1566,,,,,
247,999,,,,,
247,886,,,,,
247,426,,,,,
247,247,,,,,
247,307,,,,,
247,407,,,,,
247,421,,,,,
247,812,,,,,
247,10018,,,,,
247,,,,,,
247,2873,,,,,
247,485,,,,,
247,13322,,,,,
247,1085,,,,,
247,1085,,,,,
247,10016,,,,,
248,898,,291,,,
2481,15057,,,,,
2481|14306,3191,,,,,
2481|14306,,,,,,
2481|15912,,,,,,
2481|1695,,,,,,
249,12279,,,,,
249,,,,,,
25,25,14436,,,,
25,,,,,,
25,2929,,,,,
250,,,,,,
2501,,2502,,,,
2506,82,,,,,
2506,3891,,,,,
254,14498,,,,,
2541,564,,,,,
2541,,,,,,
2541,,,56,,,
2541,1383,,,,,
2541,15838,,,,,
2541,732,,2175,,,
2541,14948,,,,,
2543,130,,,,,
255,781,,,,,
255,,,,,,
255,1201,,,,,
256,13996,,,,,
2582|2238,,,,,,
2591|2182|2246,,,,,,
2591|4592,,,,,,
26,1640,,16258,,,
260,,,,,,
2609,,,,,,
2609|2621,2609,,,,,
2609|4941,,,,,,
261,,,,,,
262,,,,,,
2622,,,,,,
2626|102,,,,,,
2626|1549,,,,,,
2626|212,,,,,,
2626|2257,,,,,,
2626|264,,,,,,
2626|2715,,,,,,
2626|5115,,,,,,
2626|5978,,,,,,
2626|792,,,,,,
2634,,,,,,
2634|2429,,,,,,
264,9117,,,,,
264,,,,,,
2657|2658,,,,,,
2659,1644,,,,,
2659,2287,3166,,,,
2659,,,,,,
266,274,,,,,
266,,,,,,
2664|2215,,,,,,
2664|457,,,,,,
2677,4668,,,,,
2677,2458,3166,,,,
2688,2287,,,,,
2688|11271|1404,,,,,,
2688|16290,,,,,,
2688|2689,,,,,,
2688|3713,10419,,,,,
2688|6860|11030,,,,,,
27,,,,,,
270,,,,,,
2707,,,,,,
271,196,,,,,
2714|2211,,,,,,
2718,141,,,,,
2719,1248,,,,,
2719,,,,,,
2722,,,,,,
2722,2779,,,,,
2722,1684,,,,,
2722|8579,,,,,,
2723,566,,,,,
2728|2729,,,,,,
273,,,,,,
2738|2251,,,,,,
274,11118,,,,,
274,1403,,,,,
274,10967,,1713,,,
274,4852,,,,,
274,431,,,,,
274,426,,,,,
274,310,,,,,
274,7812,,,,,
274,1626,,,,,
274,1194,,,,,
274,1194,,,,,
274,15117,,,,,
274,9026,,,,,
274,1616,,,,,
274,,,,,,
274,1005,,,,,
274,998,,,,,
274,,,,,,
274,247,,,,,
274,1442,,,,,
274,2233,,,,,
274,945,,,,,
274,7790,,,,,
274,7188,,,,,
274,497,,,5078,,
274,491,,,,,
274|13758,2722,,,,,
2753,914,,,,,
2765,395,,,,,
2779,683,,,,,
2779,,,,,,
2782,,,,,,
2784,,,,,,
279,289,,,,,
279,135,,,,,
279,,,4529,,,
280,4383,,,,,
280,,,,,,
2810,4431,,,,,
282,,,,,,
2821,462,2820,,,,
2833,795,,,,,
2833,135,,,,,
2838|558,,,,,,
284,2287,,,,,
2840|2841,4517,,,,,
2847|4533,,,,,,
285,531,,11081,,,
2855,1344,,2287,,,
2858,400,,,,,
286,,,,,,
286,1307,,,,,
287,127,,,277,,
2879,680,,,,,
2889|4585,,,2890,,,
2890|388,,,2889,,,
2892,4588,,,,,
29,,,360,,,
29,1343,,,,,
291,1377,,,,,
291,1739,,,,,
291,141,,,,,
2913,,,,,,
2917,571,,,,,
2917,359,,,,,
2918,134,,,,,
2919,456,,,,,
2919,1708,,,,,
2920,6550,,,,,
2920,58,,,,,
2923|2924,,,,,,
2925|2926,,,,,,
2929,141,,,,,
2929,196,,,,,
2929,,,,,,
2929,353,,,,,
2929,5767,,,,,
2958,9144,,,,,
2958,,,,,,
296,296,,,,,
2960,,,,,,
2960|2959|16661,,,,,,
2964,,,,,,
2964,6146,,,,,
297,297,,,297,,
297,1095,,,,,
297,116,,,,,
2971,5605,,,,,
2973,1496,,3508,,,
2973,564,,,,,
2976,5650,,,,,
2976,2243,,,,,
298,1413,,,,,
2997,,,,,,
2997,2688,,,,,
2997|12460|12461,,,2412,,,
2997|195,,,,,,
2997|2242,,,,,,
2997|2283,,,,,,
2997|2688,,,,,,
2997|2998,,,,,,
2997|5006,,,,,,
2997|979,,,,,,
2998,6610,,,,,
2998,7108,,,,,
3013,,,3014,,,
3014,,,3013,,,
3015,,,,,,
3021,,,,,,
3023,,,4636,,,
3025,,,,,,
303,,,1622,,,
305,1194,,,,,
3066,,,,,,
307,274,,,,,
307,,,,,,
3072,,,,,,
3073,,,,,,
3074,,,,,,
308,,,,,,
3081,1170,,1433,,,
3082,,,,,,
309,497,,,,,
309,578,,,,,
309,247,,,,,
3090,135,,,,,
3095,1593,,,,,
3095|6366,,,,,,
3107,,,,,,
3107,274,,,,,
3107,243,,,,,
311,1615,,,,,
313,,10932,,,,
314,1068,,,,,
314,2374,,,,,
3146,,,,,,
3149,,,,,,
315,,,,,,
316,,,,,,
3164,3164,,,,,
317,1194,,,,,
3170,1194,,,,,
3170,,,,,,
3170,56,,,,,
3170,274,,,,,
3173,,,,,,
3178,4076,,,,,
318,15419,,,,,
3191,3240,,,,,
3191,,,,,,
3191|15000,3191,,,,,
3191|15000,2176,,,,,
3191|1569,,,,,,
3191|2185|11392,,,,,,
3191|2187|6807,,,,,,
3191|2204,,,,,,
3191|3190|2214,,,,,,
3191|3345|3346,,,,,,
3191|6724|6717,,,,,,
3191|6724|792,,,,,,
3191|9242,,,,,,
32,,,,,,
32,1119,,,,,
32,1119,,,,,
32,196,,,,,
32,135,,,,,
32,134,,,,,
3202,63,,,,,
3207,3197,,,,,
3207,,,,,,
3207,,,8675,,,
321,333,,,,,
3235,5978,,,,,
3238,3237,,,,,
324,1292,,,,,
325,1095,,,,,
3258,736,,,,,
326,497,,,497,,
3262|6678,,,,,,
3264,264,,,,,
3264,,,,,,
3264|1196,,,,,,
3264|2243,,,,,,
3266|4874,,,,,,
327,,,,,,
327,326,,,,,
327,2462,,,,,
33,2211,,,,,
330,,,,,,
331,1265,,,,,
331,,,792,,,
3325,,,,,,
3336,,,,,,
3336|2181|2200|5115,,,,,,
3336|2206|3692,,,,,,
334,,,8060,,,
334,,,,,,
334,1457,,,,,
334,2929,,,,,
334,343,,657,,,
334,335,,,,,
334,335,,2173,,,
334,9319,,,,,
3341|3342,,,2997,,,
335,10846,,,,,
335,1611,,,,,
335,335,,,,,
335,335,,12482,,,
335,2778,5383,,,,
335,56,,,,,
335,10254,,,,,
335,22,,12394,,,
335,22,,12397,,,
335,1757,,,,,
335,,,,,,
335,,,15530,,,
335,1757,,,,,
335|6369,,,,,,
336,,,,,,
3367,47,,,,,
337,,,5856,,,
3375,804,,,,,
3375,3891,,,,,
338,56,5756,,,,
3380,5415,,1538,,,
3380,1762,,,,,
3380,797,,1020,,,
3382,20,,85,,,
3382,20,,85,,,
3383,141,,,,,
3383,85,,842,,,
3383,85,,842,,,
3383,85,,,847,,
3387,196,,20,,,
339,2257,,,,,
3390,2287,,3391,,,
